Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:RGT:AMD,RXN:VAR:CAT:AMD,RXN:RCT:AMD,RXN:PRO:AMD
COc1ccc(C(=O)O)cc1,COc1ccc(C(=O)F)cc1,COc1ccc(C(=O)O)cc1>>COc1ccc(C(=O)F)cc1,100-09-4,701-53-1,31-371-CAS-4336772,1,2,100,"['38078-09-0', '144-55-8']","['75-09-2', '7732-18-5']","chemoselective, microreactor used, no purifn. required",Fluorination reactions in microreactors,"Gustafsson, Tomas; Gilmour, Ryan; Seeberger, Peter H.","Chemical Communications (Cambridge, United Kingdom) (2008), (26),",,,,,,
COc1ccc(C(=O)Cl)cc1,CC(C)(N)c1ccccc1.COc1ccc(C(=O)NC(C)(C)c2ccccc2)cc1,COc1ccc(C(=O)Cl)cc1>>CC(C)(N)c1ccccc1.COc1ccc(C(=O)NC(C)(C)c2ccccc2)cc1,"['100-07-2', '585-32-0']",454479-63-1,31-365-CAS-7234500,1,1,100,121-44-8,75-09-2,10-20 gram scale,The Synthesis of (-)-Isodomoic Acid C,"Clayden, Jonathan; Knowles, Faye E.; Baldwin, Ian R.","Journal of the American Chemical Society (2005), 127(8), 2412-2413",,N-Benzyl-4-methoxy-N-(1-methyl-1-phenylethyl)benzamide 5. p-Anisoyl,,,,
C=Cc1ccc([N+](=O)[O-])cc1,CCc1ccc([N+](=O)[O-])cc1,C=Cc1ccc([N+](=O)[O-])cc1>>CCc1ccc([N+](=O)[O-])cc1,100-13-0,100-12-9,31-242-CAS-4178913,1,1,100,1333-74-0,,"high pressure, solid-supported catalyst, monodisperse etched silica",Silica-Dendrimer Core-Shell Microspheres with Encapsulated Ultrasmall,"Biradar, Ankush V.; Biradar, Archana A.; Asefa, Tewodros","Langmuir (2011), 27(23), 14408-14418","['7440-05-3', '7631-86-9']",General/Typical Procedure: Catalytic Hydrogenation Reaction. The,,,,
COc1ccc(C(C)=O)cc1,CC[SiH2]CC.CC[Si]1(CC)OC(C)c2ccc(OC)cc21,COc1ccc(C(C)=O)cc1>>CC[SiH2]CC.CC[Si]1(CC)OC(C)c2ccc(OC)cc21,"['100-06-1', '542-91-6']",1601301-36-3,31-614-CAS-28588647,1,2,100,,142-82-5,"catalyst prepared and used, the reaction progress was monitored by GC,",Bipyridine- and Phenanthroline-Based Metal-Organic Frameworks for Highly,"Manna, Kuntal; Zhang, Teng; Greene, Francis X.; Lin, Wenbin","Journal of the American Chemical Society (2015), 137(7), 2665-2673",1659300-83-0,General/Typical Procedure: General procedure for MOF-Ir catalyzed tandem,,,,
COc1ccc(C(C)=O)cc1,CC[SiH2]CC.CC[Si]1(CC)OC(C)c2ccc(OC)cc21,COc1ccc(C(C)=O)cc1>>CC[SiH2]CC.CC[Si]1(CC)OC(C)c2ccc(OC)cc21,"['100-06-1', '542-91-6']",1601301-36-3,31-614-CAS-27901057,1,2,100,,142-82-5,"catalyst prepared and used, the reaction progress was monitored by GC,",Bipyridine- and Phenanthroline-Based Metal-Organic Frameworks for Highly,"Manna, Kuntal; Zhang, Teng; Greene, Francis X.; Lin, Wenbin","Journal of the American Chemical Society (2015), 137(7), 2665-2673",1659300-85-2,A typical procedure for mPT-MOF-Ir catalyzed tandem,,,,
COc1ccc(C(=O)Cl)cc1,CCCCc1cc2ccccc2o1.CCCCc1oc2ccccc2c1C(=O)c1ccc(OC)cc1,COc1ccc(C(=O)Cl)cc1>>CCCCc1cc2ccccc2o1.CCCCc1oc2ccccc2c1C(=O)c1ccc(OC)cc1,"['100-07-2', '4265-27-4']",83790-87-8,31-614-CAS-32149349,1,2,100,7647-01-0,"['75-09-2', '7732-18-5']","green chemistry-process simplification, optimization study, optimized on",Environmentally-friendly preparation method of amiodarone hydrochloride,"Zhu, Yifan; Fan, Minhua; Shi, Haifeng; Guo, Weige; Xing, Xiaojing; Jiang,","China, CN114409620 A 2022-04-29",7446-70-0,,,,,
CN(C)c1ccc(C=O)cc1,Cc1ccc(N(C)C)cc1,CN(C)c1ccc(C=O)cc1>>Cc1ccc(N(C)C)cc1,100-10-7,99-97-8,31-614-CAS-25805319,1,1,100,1333-74-0,64-17-5,"green chemistry-catalyst, solid-supported catalyst, silica support used,",Efficient and clean catalytic hydrogenolysis of aromatic ketones by,"Gu, Tingting; Liu, Lijun; Zhao, Changqiu","Modern Research in Catalysis (2013), 2(1), 9-17","['7440-05-3', '7631-86-9', '9012-76-4']",,,"['complexes with reaction products of chitosan with salicylaldehyde', 'reaction products with salicylaldehyde, palladium complexes']",,
O=[N+]([O-])c1ccc(CBr)cc1,Nc1ccc(CBr)cc1,O=[N+]([O-])c1ccc(CBr)cc1>>Nc1ccc(CBr)cc1,100-11-8,63516-03-0,31-614-CAS-40044071,1,1,100,16940-66-2,7732-18-5,"catalyst prepared and used, reusable catalyst",Facile Cu-MOF-derived Co3O4 mesoporous-structure as a cooperative,"Malmir, Masoume; Heravi, Majid M.; Shafiei Toran Poshti, Elham","Scientific Reports (2024), 14(1), 6846","['70-47-3', '142-71-2', '1308-06-1', '1034343-98-0']",,,"['reaction produts with copper acetate and graphene oxide', 'oxide, reaction produts with copper acetate and asparagine']",,
O=[N+]([O-])c1ccc(CBr)cc1,Nc1ccc(CBr)cc1,O=[N+]([O-])c1ccc(CBr)cc1>>Nc1ccc(CBr)cc1,100-11-8,63516-03-0,31-614-CAS-35217436,1,1,100,16940-66-2,7732-18-5,catalyst prepared and used,Direction of theoretical and experimental investigation into the,"Sisakhti, Zohreh Nouripour; Malmir, Masoume; Bisafar, Masoumeh Bagheri;","Scientific Reports (2022), 12(1), 21964","['85-41-6', '1306-06-5', '7440-22-4']",,,reaction products with (3-chloroprppyl) trimethoxysilane and silica,,
CCCCCCC[C@H]1O[C@H](OC)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O,CCCCCCC[C@H]1O[C@H](OC)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)C1=O,CCCCCCC[C@H]1O[C@H](OC)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O>>CCCCCCC[C@H]1O[C@H](OC)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)C1=O,1000873-20-0,1000873-21-1,31-480-CAS-1919079,1,3,100,"['79-37-8', '121-44-8']","['67-68-5', '75-09-2']",Swern oxidation,The Naturally Occurring Ketene Acetal Benesudon: Total Synthesis and,"Clive, Derrick L. J.; Minaruzzaman; Yang, Haikang","Journal of Organic Chemistry (2008), 73(17), 6743-6752",,"(2R,4R,5R,6S)-4,5-Bis(benzyloxy)-2-heptyldihydro-6-methoxy-2H-pyran-3(4H)-one",,,,
O=[N+]([O-])c1ccc(CBr)cc1,COc1ccc(B(O)O)cc1.COc1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1,O=[N+]([O-])c1ccc(CBr)cc1>>COc1ccc(B(O)O)cc1.COc1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1,"['100-11-8', '5720-07-0']",22865-59-4,31-179-CAS-4892797,1,1,100,584-08-7,1330-20-7,Suzuki cross-coupling,Suzuki cross-coupling reaction of benzylic halides with arylboronic acids,"Chahen, Ludovic; Doucet, Henri; Santelli, Maurice","Synlett (2003), (11), 1668-1672","['12012-95-2', '333380-86-2']","General/Typical Procedure: As a typical experiment, the reaction of",,,,
COc1ccc(C(C)=O)cc1,c1ccc([SiH2]c2ccccc2)cc1.COc1ccc(C(C)O[SiH](c2ccccc2)c2ccccc2)cc1,COc1ccc(C(C)=O)cc1>>c1ccc([SiH2]c2ccccc2)cc1.COc1ccc(C(C)O[SiH](c2ccccc2)c2ccccc2)cc1,"['100-06-1', '775-12-2']",247210-84-0,31-010-CAS-10156970,1,1,100,,1076-43-3,alternative reaction conditions shown,"A dibenz[a,c]phenazine-supported N-heterocyclic carbene and its rhodium","Tapu, Daniela; McCarty, Zachary; Hutchinson, Lauren; Ghattas,","Journal of Organometallic Chemistry (2014), 749134-141",1519791-99-1,,,,,
COc1ccc(C(C)=O)cc1,c1ccc([SiH2]c2ccccc2)cc1.COc1ccc(C(C)O[SiH](c2ccccc2)c2ccccc2)cc1,COc1ccc(C(C)=O)cc1>>c1ccc([SiH2]c2ccccc2)cc1.COc1ccc(C(C)O[SiH](c2ccccc2)c2ccccc2)cc1,"['100-06-1', '775-12-2']",247210-84-0,31-513-CAS-9067436,1,1,100,,109-99-9,poly-NHC prepared and used as catalyst,Process for hydrosilylation of ketones and imines,"Zhang, Yugen; Ying, Jackie Y.","World Intellectual Property Organization, WO2008039154 A1 2008-04-03",,Hydrosilylation of ketone and imine. All reactions were carried out in,,,,
O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)c(Cl)c1,O=[N+]([O-])c1ccc(O)cc1>>O=[N+]([O-])c1ccc(O)c(Cl)c1,100-02-7,619-08-9,31-614-CAS-36243118,1,2,100,"['507-40-4', '497-19-8']","['75-09-2', '7732-18-5']","optimized on catalyst and stoichiometry, optimization study",Method for production of 2-chloro-4-nitrophenol,"Baiguzina, A. R.; Khusnutdinov, R. I.; Asadullin, R. R.; Ramazanov, I. R.","Russian Federation, RU2792890 C2 2023-03-28",7789-46-0,,,,,
C[Si](C)(C)CCOC(=O)NCc1ccc(CN)cc1,CC(C)(C)OC(=O)N(Cc1ccc(C=O)cc1)Cc1ccc(CN(Cc2ccc(CN(Cc3ccc(CN(Cc4ccc(C=O)cc4)C(=O)OC(C)(C)C)cc3)C(=O)OC(C)(C)C)cc2)C(=O)OC(C)(C)C)cc1.CC(C)(C)OC(=O)N(Cc1ccc(C=NCc2ccc(CNC(=O)OCC[Si](C)(C)C)cc2)cc1)Cc1ccc(CN(Cc2ccc(CN(Cc3ccc(CN(Cc4ccc(C=NCc5ccc(CNC(=O)OCC[Si](C)(C)C)cc5)cc4)C(=O)OC(C)(C)C)cc3)C(=O)OC(C)(C)C)cc2)C(=O)OC(C)(C)C)cc1,C[Si](C)(C)CCOC(=O)NCc1ccc(CN)cc1>>CC(C)(C)OC(=O)N(Cc1ccc(C=O)cc1)Cc1ccc(CN(Cc2ccc(CN(Cc3ccc(CN(Cc4ccc(C=O)cc4)C(=O)OC(C)(C)C)cc3)C(=O)OC(C)(C)C)cc2)C(=O)OC(C)(C)C)cc1.CC(C)(C)OC(=O)N(Cc1ccc(C=NCc2ccc(CNC(=O)OCC[Si](C)(C)C)cc2)cc1)Cc1ccc(CN(Cc2ccc(CN(Cc3ccc(CN(Cc4ccc(C=NCc5ccc(CNC(=O)OCC[Si](C)(C)C)cc5)cc4)C(=O)OC(C)(C)C)cc3)C(=O)OC(C)(C)C)cc2)C(=O)OC(C)(C)C)cc1,"['1000297-54-0', '1000297-78-8']",1166847-51-3,31-309-CAS-5381472,1,1,100,,108-88-3,Dean-Stark apparatus used,Efficient Preparation of Separable Pseudo[n]rotaxanes by Selective,"Yin, Jun; Chi, Chunyan; Wu, Jishan","Chemistry - A European Journal (2009), 15(24), 6050-6057,",,,,,,
C#C[Si](C)(C)C,Brc1cnc2c(ccc3cc(Br)cnc32)c1.C[Si](C)(C)C#Cc1cnc2c(ccc3cc(C#C[Si](C)(C)C)cnc32)c1,C#C[Si](C)(C)C>>Brc1cnc2c(ccc3cc(Br)cnc32)c1.C[Si](C)(C)C#Cc1cnc2c(ccc3cc(C#C[Si](C)(C)C)cnc32)c1,"['1066-54-2', '100125-12-0']",320573-10-2,31-180-CAS-6298443,1,2,100,"['7087-68-5', '151-50-8']","['71-43-2', '7732-18-5']","safety (toxic reagent), Sonogashira reaction, sealed tube used",Synthesis of ladder polyaromatics as new molecular device candidates,"Ciszek, Jacob W.; Tour, James M.","Tetrahedron Letters (2004), 45(13), 2801-2803","['7681-65-4', '13965-03-2']",,,,,
COc1ccc(CNC(=O)OC(C)(C)C)c(OC)c1,COCCl.COCC(NC(=O)OC(C)(C)C)c1ccc(OC)cc1OC,COc1ccc(CNC(=O)OC(C)(C)C)c(OC)c1>>COCCl.COCC(NC(=O)OC(C)(C)C)c1ccc(OC)cc1OC,"['1001181-01-6', '107-30-2']",1402155-42-3,31-614-CAS-26589641,1,2,100,109-72-8,109-99-9,no solvent (stage 2),"Combinations of Akt inhibitor compounds and abiraterone, and methods of","Nannini, Michelle; Sampath, Deepak","World Intellectual Property Organization, WO2012135759 A1 2012-10-04",,"Step 11: Tert-butyl 2,4-dimethoxybenzylcarbamate (3.96 g, 14.8 mmol) was",,,,
COc1ccc(C(C)=O)cc1,C[Si](C)(C)C#N.COc1ccc([C@@](C)(C#N)O[Si](C)(C)C)cc1,COc1ccc(C(C)=O)cc1>>C[Si](C)(C)C#N.COc1ccc([C@@](C)(C#N)O[Si](C)(C)C)cc1,"['100-06-1', '7677-24-9']",252966-57-7,31-346-CAS-10662234,1,1,100,,75-09-2,"stereoselective, optimization study",Optimized catalysts for the asymmetric addition of trimethylsilyl cyanide,"Belokon', Yuri N.; Green, Brendan; Ikonnikov, Nicolai S.; North, Michael;","Tetrahedron (2001), 57(4), 771-779",224565-52-0,,,,,
O=[N+]([O-])c1ccc(CBr)cc1,Oc1ccccc1.O=[N+]([O-])c1ccc(COc2ccccc2)cc1,O=[N+]([O-])c1ccc(CBr)cc1>>Oc1ccccc1.O=[N+]([O-])c1ccc(COc2ccccc2)cc1,"['100-11-8', '108-95-2']",3048-12-2,31-008-CAS-7808677,1,1,100,,528818-81-7,"chemoselective, green chem.- solvent/catalyst, ionic liquid used",Ionic liquids as reagent and reaction medium. Preparation of alkyl aryl,"Mohanazadeh, Farajollah; Aghvami, Majid","Monatshefte fuer Chemie (2007), 138(1), 47-49",528818-81-7,General/Typical Procedure: Preparation of Alkyl Aryl Ether Alkyl halide,,,,
CC(C)(C)OC(=O)NC[C@@H](C(=O)N1C(=O)OC[C@H]1Cc1ccccc1)c1ccc(Cl)cc1,CC(C)(C)OC(=O)NC[C@@H](C(=O)O)c1ccc(Cl)cc1,CC(C)(C)OC(=O)NC[C@@H](C(=O)N1C(=O)OC[C@H]1Cc1ccccc1)c1ccc(Cl)cc1>>CC(C)(C)OC(=O)NC[C@@H](C(=O)O)c1ccc(Cl)cc1,1001180-01-3,1001180-04-6,31-353-CAS-1654702,1,4,100,"['1310-65-2', '7722-84-1', '7757-83-7', '7646-93-7']","['109-99-9', '7732-18-5']",alternative preparation shown,Discovery and Preclinical Pharmacology of a Selective ATP-Competitive Akt,"Blake, James F.; Xu, Rui; Bencsik, Josef R.; Xiao, Dengming; Kallan,","Journal of Medicinal Chemistry (2012), 55(18), 8110-8127",,(S)-3-((tert-Butoxycarbonyl)amino)-2-(4-chlorophenyl)propanoic Acid,,,,
COc1ccc(C(=O)O)cc1,O=C(O)c1ccc(O)cc1,COc1ccc(C(=O)O)cc1>>O=C(O)c1ccc(O)cc1,100-09-4,99-96-7,31-049-CAS-8346863,1,1,100,7727-15-3,,Classification: O-Dealkylation; Demethylation; # Conditions: AlBr3,Demethylation and demethylenation,"Pfeiffer, P.; Loewe, W.","Journal fuer Praktische Chemie (Leipzig) (1937), 147293-310",,,,,,
OB(O)c1ccccc1,O=[N+]([O-])c1ccc(CBr)cc1.O=[N+]([O-])c1ccc(Cc2ccccc2)cc1,OB(O)c1ccccc1>>O=[N+]([O-])c1ccc(CBr)cc1.O=[N+]([O-])c1ccc(Cc2ccccc2)cc1,"['98-80-6', '100-11-8']",1817-77-2,31-179-CAS-6138813,1,1,100,584-08-7,1330-20-7,Suzuki cross-coupling,Suzuki cross-coupling reaction of benzylic halides with arylboronic acids,"Chahen, Ludovic; Doucet, Henri; Santelli, Maurice","Synlett (2003), (11), 1668-1672","['12012-95-2', '333380-86-2']","General/Typical Procedure: As a typical experiment, the reaction of",,,,
CCOC(=O)CP(=O)(OCC)OCC,COc1ccc(C(C)=O)cc1.CCOC(=O)C=C(C)c1ccc(OC)cc1,CCOC(=O)CP(=O)(OCC)OCC>>COc1ccc(C(C)=O)cc1.CCOC(=O)C=C(C)c1ccc(OC)cc1,"['867-13-0', '100-06-1']",7706-82-3,31-339-CAS-20543284,1,3,100,"['7646-69-7', '12125-02-9']","['109-99-9', '7732-18-5']",Horner-Wadsworth-Emmons reaction,Enantioselective carbene C-H insertion using an iron-containing enzyme,"Zhang, Ruijie; Wohlschlager, Lena; Renata, Hans; Arnold, Frances H.;","World Intellectual Property Organization, WO2019147865 A1 2019-08-01",,,,,,
CCOC(=O)CP(=O)(OCC)OCC,COc1ccc(C(C)=O)cc1.CCOC(=O)C=C(C)c1ccc(OC)cc1,CCOC(=O)CP(=O)(OCC)OCC>>COc1ccc(C(C)=O)cc1.CCOC(=O)C=C(C)c1ccc(OC)cc1,"['867-13-0', '100-06-1']",7706-82-3,31-339-CAS-20402378,1,3,100,"['7646-69-7', '12125-02-9']","['109-99-9', '7732-18-5']",Horner-Wadsworth-Emmons reaction,Enzymatic assembly of carbon-carbon bonds via iron-catalysed sp3 C-H,"Zhang, Ruijie K.; Chen, Kai; Huang, Xiongyi; Wohlschlager, Lena; Renata,","Nature (London, United Kingdom) (2019), 565(7737), 67-72",,,,,,
CN(C)c1ccc(C=O)cc1,C1COCCN1.CN(C)c1ccc(C(=S)N2CCOCC2)cc1,CN(C)c1ccc(C=O)cc1>>C1COCCN1.CN(C)c1ccc(C(=S)N2CCOCC2)cc1,"['100-10-7', '110-91-8']",5925-53-1,31-561-CAS-4373040,1,1,100,7704-34-9,,microwave,Microwave-assisted rapid hydrolysis and preparation of thioamides by,"Moghaddam, Firouz Matloubi; Ghaffarzadeh, Mohammad","Synthetic Communications (2001), 31(2), 317-321",,General/Typical Procedure: General Procedure for the Willgerodt-Kindler,,,,
COc1ccc(C(C)=O)cc1,O=Cc1ccc(OCc2csc(-c3ccccc3)n2)cc1.COc1ccc(C(=O)C=Cc2ccc(OCc3csc(-c4ccccc4)n3)cc2)cc1,COc1ccc(C(C)=O)cc1>>O=Cc1ccc(OCc2csc(-c3ccccc3)n2)cc1.COc1ccc(C(=O)C=Cc2ccc(OCc3csc(-c4ccccc4)n3)cc2)cc1,"['100-06-1', '103789-67-9']",1394124-68-5,31-329-CAS-8756653,1,1,100,1310-58-3,64-17-5,Claisen-Smith condensation,Synthesis of new thiazolylmethoxyphenyl pyrimidines and antihyperglycemic,"Bhosle, Manisha R.; Deshmukh, Amarsinh R.; Pal, Savita; Srivastava,","Bioorganic & Medicinal Chemistry Letters (2015), 25(11), 2442-2446",,,,,,
Cc1c(N)c(=O)n(-c2ccccc2)n1C,CN(C)c1ccc(C=O)cc1.Cc1c(N=Cc2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,Cc1c(N)c(=O)n(-c2ccccc2)n1C>>CN(C)c1ccc(C=O)cc1.Cc1c(N=Cc2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,"['83-07-8', '100-10-7']",61098-08-6,31-309-CAS-7024416,1,1,100,,,"solid state, Ball-Milling, no solvent",Brand new quantitative solid-state synthesis of N-pyrazolyl azomethines,"Abdel-Latif, Ehab; Kaupp, Gerd; Metwally, Mohamed A.","Journal of Chemical Research (2005), (3), 187-189",,,,,,
Nc1ccccc1,COc1ccc(C(=O)O)cc1.COc1ccc(C(=O)Nc2ccccc2)cc1,Nc1ccccc1>>COc1ccc(C(=O)O)cc1.COc1ccc(C(=O)Nc2ccccc2)cc1,"['62-53-3', '100-09-4']",7465-88-5,31-367-CAS-7315169,1,2,100,"['121-44-8', '1122-58-3', '1086010-18-5']","['68-12-2', '7732-18-5']",Mukaiyama reagent used,A development of concise amidation and esterification reactions using a,"Matsugi, Masato; Hayashi, Toshiya; Hasebe, Shohei; Kunda, Yoko","Meijo Daigaku Sogo Kenkyusho Sogo Gakujutsu Kenkyu Ronbunshu (2009),",,,,,,
C[C@@H]1CC(=O)c2ncnc(N3CCN(C(=O)OC(C)(C)C)CC3)c21,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)OC(C)(C)C)CC3)c21,C[C@@H]1CC(=O)c2ncnc(N3CCN(C(=O)OC(C)(C)C)CC3)c21>>C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)OC(C)(C)C)CC3)c21,1001180-21-7,1001180-45-5,31-513-CAS-5584451,1,3,100,,"['67-63-0', '7732-18-5', '108-21-4']","biotransformation (stage 2), enzymic (stage 2), stereoselective,",Processes for the preparation of pyrimidinylcyclopentane compounds,"Iding, Hans; Reents, Reinhard; Scalone, Michelangelo; Gosselin, Francis","World Intellectual Property Organization, WO2015073739 A1 2015-05-21",77106-95-7,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(=O)CI)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(=O)CI)cc1,100-06-1,80336-72-7,31-119-CAS-4074539,1,1,100,"['151-21-3', '7553-56-2', '7664-93-9', '7782-44-7']",7732-18-5,"green chemistry-reagent, green chemistry-solvent, incremental addition of","Aerobic oxidative iodination of ketones catalysed by sodium nitrite ""on","Stavber, Gaj; Iskra, Jernej; Zupan, Marko; Stavber, Stojan","Green Chemistry (2009), 11(8), 1262-1267",7632-00-0,,,,,
CN(C)c1ccc(C=O)cc1,CN(C)c1ccc(CN)cc1,CN(C)c1ccc(C=O)cc1>>CN(C)c1ccc(CN)cc1,100-10-7,19293-58-4,31-313-CAS-19937018,1,1,100,"['1333-74-0', '1336-21-6']",64-17-5,"green chemistry, high pressure, microwave irradiation, solid-supported",Microwave-Assisted Reductive Amination with Aqueous Ammonia: Sustainable,"Manzoli, Maela; Gaudino, Emanuela Calcio; Cravotto, Giancarlo; Tabasso,","ACS Sustainable Chemistry & Engineering (2019), 7(6), 5963-5974",7440-02-0,,,silica-supported iron oxide,,
CN(C)c1ccc(C=O)cc1,CN(C)c1ccc(CN)cc1,CN(C)c1ccc(C=O)cc1>>CN(C)c1ccc(CN)cc1,100-10-7,19293-58-4,31-313-CAS-19696732,1,1,100,"['1333-74-0', '7664-41-7']",64-17-5,"green chemistry-catalyst, solid-supported catalyst, thermal, supported on",Preparation of nitrogen-doped carbon supported cobalt catalysts and its,"Yuan, Ziliang; Liu, Bing; Zhou, Peng; Zhang, Zehui; Chi, Quan","Journal of Catalysis (2019), 370347-356",7440-48-4,,,"NC-800, NC-600, NC-900 supported",,
O=C1CCOCC1,COC(=O)c1cc(Br)cc(N)c1C.COC(=O)c1cc(Br)cc(NC2CCOCC2)c1C,O=C1CCOCC1>>COC(=O)c1cc(Br)cc(N)c1C.COC(=O)c1cc(Br)cc(NC2CCOCC2)c1C,"['29943-42-8', '1000342-11-9']",1403257-49-7,31-313-CAS-22882256,1,3,100,"['64-19-7', '56553-60-7', '7732-18-5']",75-09-2,alternate method gave lower yield,Preparation method for amide compound and application thereof in field of,"Xu, Xin; Zhang, Zhen; Li, Yunfei; Zhang, Liming; Wu, Qimei; Xia, Xiaoer;","World Intellectual Property Organization, WO2020192650 A1 2020-10-01",,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C=O)cc1.COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C=O)cc1.COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,"['100-06-1', '123-11-5']",41564-67-4,31-329-CAS-21680487,1,1,100,1310-73-2,67-56-1,"stereoselective, aldol condensation","1,2,4-Triphenylpyrroles: Synthesis, Structure and Luminescence Properties","Ferreira, Joana R. M.; Nunes da Silva, Raquel; Rocha, Joao; Silva, Artur","Synlett (2020), 31(6), 632-634",,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C=O)cc1.COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C=O)cc1.COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,"['100-06-1', '123-11-5']",41564-67-4,31-329-CAS-19568692,1,1,100,1310-73-2,64-17-5,"stereoselective, aldol condensation, literature preparation","Transient [3,3] Cope rearrangement of 3,3-dicyano-1,5-dienes:","Fereyduni, Ehsan; Sanders, Jacob N.; Gonzalez, Gabriel; Houk, K. N.;","Chemical Science (2018), 9(46), 8760-8764",,,,,,
COc1ccc(C(C)=O)cc1,COC(OC)N(C)C.COc1ccc(C(=O)C=CN(C)C)cc1,COc1ccc(C(C)=O)cc1>>COC(OC)N(C)C.COc1ccc(C(=O)C=CN(C)C)cc1,"['100-06-1', '4637-24-5']",18096-70-3,31-331-CAS-16639924,1,1,100,,1330-20-7,literature preparation,Synthesis of C5-tethered indolyl-3-glyoxylamide derivatives as tubulin,"Guggilapu, Sravanthi Devi; Lalita, Guntuku; Reddy, T. Srinivasa;","European Journal of Medicinal Chemistry (2017), 1281-12",,,,,,
C[C@@H](N)c1ccccc1,O=C(OCC1c2ccccc2-c2ccccc21)n1cnc([N+](=O)[O-])n1.C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccccc1,C[C@@H](N)c1ccccc1>>O=C(OCC1c2ccccc2-c2ccccc21)n1cnc([N+](=O)[O-])n1.C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccccc1,"['3886-69-9', '1001067-08-8']",1001067-11-3,31-363-CAS-5607592,1,1,100,,75-09-2,"alternative reaction conditions shown, alternative reaction conditions","Development of column-free alkoxycarbonyl, aryloxycarbonyl, and acyl","Shimizu, Mamoru; Sodeoka, Mikiko","Heterocycles (2008), 76(2), 1301-1312",,,,,,
COc1ccc(C(C)=O)cc1,OCc1ccccc1.COc1ccc(C(=O)CCc2ccccc2)cc1,COc1ccc(C(C)=O)cc1>>OCc1ccccc1.COc1ccc(C(=O)CCc2ccccc2)cc1,"['100-06-1', '100-51-6']",5739-38-8,31-066-CAS-21296549,1,1,100,7778-53-2,108-88-3,"sealed vial used, aldol condensation/reduction, reusable catalyst",Palladium on carbon-catalyzed α-alkylation of ketones with alcohols as,"Bennedsen, Niklas R.; Mortensen, Rasmus L.; Kramer, Soeren; Kegnaes,","Journal of Catalysis (2019), 371153-160",7440-05-3,,,,,
CN(C)c1ccc(C=O)cc1,CN1C(=O)CC(=O)N(C)C1=O.CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O,CN(C)c1ccc(C=O)cc1>>CN1C(=O)CC(=O)N(C)C1=O.CN1C(=O)C(=Cc2ccc(N(C)C)cc2)C(=O)N(C)C1=O,"['100-10-7', '769-42-6']",57270-81-2,31-331-CAS-7756470,1,1,100,,67-56-1,Knoevenagel condensation,Colorimetric detection of fluoride ion by 5-arylidenebarbituric acids:,"Saravanan, Chinnusamy; Easwaramoorthi, Shanmugam; Wang, Leeyih","Dalton Transactions (2014), 43(13), 5151-5157",,,,,,
