Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:PRO:AMD,RXN:VAR:CAT:AMD,RXN:VAR:SOL:AMD,RXN:RCT:AMD,RXN:VAR:RGT:AMD
COc1ccc(C(C)=O)cc1C,COc1ccc(C(=O)CBr)cc1C,COc1ccc(C(C)=O)cc1C>>COc1ccc(C(=O)CBr)cc1C,10024-90-5,99070-16-3,31-614-CAS-24625936,1,1,100,"['128-08-5', '2564-83-2']",,"photochemical, regioselective, 8-W energy-saving light bulb used, no",Reactivity of substrates with multiple competitive reactive sites toward,"Grjol, Blaz; Jereb, Marjan","Chemical Papers (2021), 75(10), 5235-5248",,,,,,,
CC(=O)SCc1cc(CSC(C)=O)cc(-c2ccc(-c3cccs3)cc2)c1,SCc1ccc(-c2ccc(-c3cccs3)cc2)cc1,CC(=O)SCc1cc(CSC(C)=O)cc(-c2ccc(-c3cccs3)cc2)c1>>SCc1ccc(-c2ccc(-c3cccs3)cc2)cc1,1002327-96-9,1382773-79-6,31-614-CAS-27153509,1,2,100,"['7664-93-9', '144-55-8']","['67-56-1', '75-09-2', '7732-18-5']",Schlenk tube used,Mono/bidentate thiol oligoarylene-based self-assembled monolayers (SAMs),"Casalini, Stefano; Leonardi, Francesca; Bortolotti, Carlo A.; Operamolla,","Journal of Materials Chemistry (2012), 22(24), 12155-12163",,,,,,,
O=C(O)c1ccc(C(=O)O)cc1.[Na],O=C(O)[C@H]1CC[C@@H](C(=O)O)CC1.[Na],O=C(O)c1ccc(C(=O)O)cc1.[Na]>>O=C(O)[C@H]1CC[C@@H](C(=O)O)CC1.[Na],10028-70-3,1186401-08-0,31-243-CAS-6041802,1,1,100,1333-74-0,7732-18-5,"high pressure, stereoselective, 86:14 cis:trans, no reacion in iPrOH",Efficient and Practical Arene Hydrogenation by Heterogeneous Catalysts,"Maegawa, Tomohiro; Akashi, Akira; Yaguchi, Kiichiro; Iwasaki, Yohei;","Chemistry - A European Journal (2009), 15(28), 6953-6963,",7440-18-8,,,,,,
CC(=O)NCCN,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(NC(=O)NCCCN2CCC(=O)CC2)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(NC(=O)NCCCN2CCC(NCCNC(C)=O)CC2)c1.Cl,CC(=O)NCCN>>COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(NC(=O)NCCCN2CCC(=O)CC2)c1.COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(NC(=O)NCCCN2CCC(NCCNC(C)=O)CC2)c1.Cl,"['1001-53-2', '1347809-31-7']",373609-03-1,31-313-CAS-9801436,1,5,100,"['64-19-7', '56553-60-7', '7647-01-0']","['75-09-2', '60-29-7', '67-56-1']","combinatorial, methanol/dichloromethane used as solvent in stage 1,",Preparation of alkylamine derivatives of dihydropyridine as NPY,"Poindexter, Graham S.; Bruce, Marc; Sit, Sing-Yuen; Martin, Scott W.","World Intellectual Property Organization, WO2001085173 A1 2001-11-15",,General/Typical Procedure: Examples 30-85: Parallel Synthesis of,,,,,
O=C(O)c1ccc(C(=O)O)cc1,ClC(=Nc1ccccc1)c1cccc(C(Cl)=Nc2ccccc2)c1.ClC(=Nc1ccccc1)c1cccc(C(Cl)=Nc2ccccc2)c1.O=C(O)c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C(=O)O)cc1>>ClC(=Nc1ccccc1)c1cccc(C(Cl)=Nc2ccccc2)c1.ClC(=Nc1ccccc1)c1cccc(C(Cl)=Nc2ccccc2)c1.O=C(O)c1ccc(C(=O)O)cc1,"['100-21-0', '2425-90-3']",151968-81-9,31-614-CAS-30217661,1,1,100,121-44-8,872-50-4,"Mumm-Hesse rearrangement, alternative reaction conditions require more",The Mumm-Hesse rearrangement in the synthesis of N-phenyl-substituted,"Kotlyarov, V. G.; Burdukovskii, V. F.; Mognonov, D. M.","Russian Chemical Bulletin (2011), 60(1), 194-195",,General/Typical Procedure: B. A one-step synthesis was performed in a,,,,,
CC(C)(C)[Si](C)(C)OCCn1ccc([N+](=O)[O-])n1,CC(C)(C)[Si](C)(C)OCCn1ccc(N)n1,CC(C)(C)[Si](C)(C)OCCn1ccc([N+](=O)[O-])n1>>CC(C)(C)[Si](C)(C)OCCn1ccc(N)n1,1003013-08-8,1003013-09-9,31-522-CAS-14772900,1,1,100,1333-74-0,64-17-5,Parr Hydrogenator used,Preparation of pyridinones and pyrazinones as Btk kinase inhibitors for,"Currie, Kevin S.; Wang, Xiaojing; Young, Wendy B.","World Intellectual Property Organization, WO2012031004 A1 2012-03-08",7440-05-3,Example 119b 1-(2-(tert-Butyldimethylsilyloxy)ethyl)-1H-pyrazol-3-amine,,,,,
CC/C(B1OC(C)(C)C(C)(C)O1)=C(/B1OC(C)(C)C(C)(C)O1)c1ccc(Cl)cc1OCc1ncccc1Br,CC/C(B1OC(C)(C)C(C)(C)O1)=C1\c2ccc(Cl)cc2OCc2ncccc21,CC/C(B1OC(C)(C)C(C)(C)O1)=C(/B1OC(C)(C)C(C)(C)O1)c1ccc(Cl)cc1OCc1ncccc1Br>>CC/C(B1OC(C)(C)C(C)(C)O1)=C1\c2ccc(Cl)cc2OCc2ncccc21,1001438-71-6,1001438-72-7,31-177-CAS-5711852,1,1,100,7778-53-2,123-91-1,alternative reaction conditions shown,"Preparation of a 6,11-dihydro-10-aza-dibenz[b,e]oxepin derivative as","Carson, Matthew William; Coghlan, Michael Joseph","World Intellectual Property Organization, WO2008008882 A2 2008-01-17",95464-05-4,Intermediate 9.,,,,,
O=C1CCCS1,NCCCn1ccnc1.O=C(CCCS)NCCCn1ccnc1,O=C1CCCS1>>NCCCn1ccnc1.O=C(CCCS)NCCCn1ccnc1,"['1003-10-7', '5036-48-6']",1873587-51-9,31-614-CAS-24362207,1,1,100,,75-05-8,product is further derivatized with polysiloxanes,Design of ligand attachment chemistry for high conductivity polymer,"Segalman, Rachel A.; Hawker, Craig J.; Clement, Raphaele; De Alaniz,","World Intellectual Property Organization, WO2021178573 A1 2021-09-10",,,,,,,
COc1ccc([N+](=O)[O-])cc1,OCCCN(CCCO)CCCO.COc1ccc2ncccc2c1,COc1ccc([N+](=O)[O-])cc1>>OCCCN(CCCO)CCCO.COc1ccc2ncccc2c1,"['100-17-4', '14002-34-7']",5263-87-6,31-399-CAS-6835398,1,1,100,"['67-63-0', '7772-99-8']","['123-91-1', '7732-18-5']","solid-supported catalyst, thermal, under solvothermal conditions in",Reduction of nitroarenes followed by propanol group transfer from,"Cho, Chan Sik; Kim, Tae Gyun; Yoon, Nam Sik","Applied Organometallic Chemistry (2010), 24(4), 291-293",7440-05-3,,,,,,
O=[N+]([O-])c1ccc(CCl)cc1,O=Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(CCl)cc1>>O=Cc1ccc([N+](=O)[O-])cc1,100-14-1,555-16-8,31-497-CAS-5939801,1,2,100,,"['67-56-1', '7732-18-5']",yield depends on solvent and temperature,Kinetics of the permanganate oxidation of benzyl chlorides in organic,"Joseph, Joy; Muhammad, Basheer K.; Nair, T. D. Radhakrishnan","International Journal of Chemical Sciences (2006), 4(4), 965-970","['5137-55-3', '7722-64-7']",,,,,,
O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)OCc1ccccc1,COC(=O)C1CNC1.Cl.COC(=O)C1CN(C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)OCc2ccccc2)C1,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)OCc1ccccc1>>COC(=O)C1CNC1.Cl.COC(=O)C1CN(C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)OCc2ccccc2)C1,"['1164-16-5', '100202-39-9']",1949782-11-9,31-367-CAS-21393150,1,1,100,"['7087-68-5', '148893-10-1']",68-12-2,incremental addition of HATU,2-Amino-3-(heteroaryl-phenyl)propanoic acid derivatives as GLP-1 receptor,"Boehm, Marcus F.; Martinborough, Esther; Moorjani, Manisha; Tamiya,","World Intellectual Property Organization, WO2016094729 A1 2016-06-16",,,,,,,
O=C([O-][Mg+2]([OH2])([OH2])([O-]C(=O)c1ccc([N+](=O)[O-])cc1)(N1=CNC=C1)N1=CNC=C1)c1ccc([N+](=O)[O-])cc1,O=C(O)c1ccc([N+](=O)[O-])cc1,O=C([O-][Mg+2]([OH2])([OH2])([O-]C(=O)c1ccc([N+](=O)[O-])cc1)(N1=CNC=C1)N1=CNC=C1)c1ccc([N+](=O)[O-])cc1>>O=C(O)c1ccc([N+](=O)[O-])cc1,1001651-57-5,62-23-7,31-614-CAS-29069442,1,1,100,7647-01-0,7732-18-5,alternative preparation shown,"Synthesis, spectroscopy, thermal studies and supramolecular structures of","Srinivasan, Bikshandarkoil R.; Sawant, Jyoti V.; Raghavaiah, Pallepogu","Journal of Chemical Sciences (Bangalore, India) (2007), 119(1), 11-20",,The reaction of 1 or 2 with dilute HCl leads to the decomposition of the,,,,,
O=C(O)c1ccc(C(=O)O)cc1,CC(=O)Oc1ccc(OC(C)=O)c(P2(=O)Oc3ccccc3-c3ccccc32)c1.CC(=O)Oc1ccc(OC(C)=O)c(P2(=O)Oc3ccccc3-c3ccccc32)c1.O=C(O)c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C(=O)O)cc1>>CC(=O)Oc1ccc(OC(C)=O)c(P2(=O)Oc3ccccc3-c3ccccc32)c1.CC(=O)Oc1ccc(OC(C)=O)c(P2(=O)Oc3ccccc3-c3ccccc32)c1.O=C(O)c1ccc(C(=O)O)cc1,"['100-21-0', '101842-63-1']",101842-64-2,31-614-CAS-26623158,1,1,100,,,"solid state, thermal, no solvent, molten conditions, no solvent","Active ester curing agent compound for thermosetting resins, flame","Piotrowski, Andrew; Zilberman, Joseph; Levchik, Sergei; Zhang, Meng;","World Intellectual Property Organization, WO2017083136 A1 2017-05-18",,,,,,,
NC1CCCC1,OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O.OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O,NC1CCCC1>>OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O.OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O,"['1003-03-8', '5399-87-1']",41552-82-3,31-172-CAS-12227088,1,1,100,,64-17-5,literature preparation,Selective Tight Binding Inhibitors of Trypanosomal,"Aronov, Alex M.; Verlinde, Christophe L. M. J.; Hol, Wim G. J.; Gelb,","Journal of Medicinal Chemistry (1998), 41(24), 4790-4799",,,,,,,
NCCCCCCCC(=O)O,[H][C@]12C(=O)OC(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1.[H][C@]12C(=O)N(CCCCCCCC(=O)O)C(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1,NCCCCCCCC(=O)O>>[H][C@]12C(=O)OC(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1.[H][C@]12C(=O)N(CCCCCCCC(=O)O)C(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1,"['1002-57-9', '2746-19-2']",2052359-13-2,31-614-CAS-31634813,1,1,100,,108-88-3,literature preparation,Quantifying Exciton Transport in Singlet Fission Diblock Copolymers,"He, Guiying; Yablon, Lauren M.; Parenti, Kaia R.; Fallon, Kealan J.;","Journal of the American Chemical Society (2022), 144(7), 3269-3278",,,,,,,
NCCCCCCCC(=O)O,[H][C@]12C(=O)OC(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1.[H][C@]12C(=O)N(CCCCCCCC(=O)O)C(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1,NCCCCCCCC(=O)O>>[H][C@]12C(=O)OC(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1.[H][C@]12C(=O)N(CCCCCCCC(=O)O)C(=O)[C@@]1([H])[C@]1([H])C=C[C@@]2([H])C1,"['1002-57-9', '2746-19-2']",2052359-13-2,31-366-CAS-20160006,1,1,100,,108-88-3,Dean-Stark trap used,Persistent Multiexcitons from Polymers with Pendent Pentacenes,"Yablon, Lauren M.; Sanders, Samuel N.; Li, Hua; Parenti, Kaia R.;","Journal of the American Chemical Society (2019), 141(24), 9564-9569",,,,,,,
COC(=O)c1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,COC(=O)c1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1>>COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,1002336-55-1,138169-55-8,31-614-CAS-28845845,1,2,100,"['124-41-4', '9002-23-7']",67-56-1,Amberlite IR 120/H+ form resin used in stage 2,Preparation of galactoside bivalent LecA inhibitors targeting biofilm,"Titz, Alexander; Zahorska, Eva; Minervini, Saverio; Imberty, Anne;","World Intellectual Property Organization, WO2021089729 A1 2021-05-14",,,,,,,
COC(=O)c1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,COC(=O)c1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)cc1>>COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,1002336-55-1,138169-55-8,31-352-CAS-22421046,1,2,100,"['124-41-4', '9002-23-7']",67-56-1,Amberlite IR 120 (H+) resin used (stage 2),A rapid synthesis of low-nanomolar divalent LecA inhibitors in four,"Zahorska, Eva; Kuhaudomlarp, Sakonwan; Minervini, Saverio; Yousaf,","Chemical Communications (Cambridge, United Kingdom) (2020), 56(62),",,,,,,,
Clc1ccc(-n2c(-c3ccccc3Cl)nc3c(Cl)ncnc32)cc1,Cc1c(CN2CCNCC2)cnn1C.Cc1c(CN2CCN(c3ncnc4c3nc(-c3ccccc3Cl)n4-c3ccc(Cl)cc3)CC2)cnn1C,Clc1ccc(-n2c(-c3ccccc3Cl)nc3c(Cl)ncnc32)cc1>>Cc1c(CN2CCNCC2)cnn1C.Cc1c(CN2CCN(c3ncnc4c3nc(-c3ccccc3Cl)n4-c3ccc(Cl)cc3)CC2)cnn1C,"['686344-50-3', '1001757-60-3']",2230085-58-0,31-172-CAS-20184511,1,1,100,121-44-8,64-17-5,"regioselective, sealed vessel used",Diarylpurine derivatives as CB1 receptor antagonists with improved,"Maitra, Rangan; Wiethe, Robert W.; Zhang, Yanan; Amato, George S.","World Intellectual Property Organization, WO2018119076 A1 2018-06-28",,,,,,,
Clc1ccc(-n2c(-c3ccccc3Cl)nc3c(Cl)ncnc32)cc1,Cc1c(CN2CCNCC2)cnn1C.Cc1c(CN2CCN(c3ncnc4c3nc(-c3ccccc3Cl)n4-c3ccc(Cl)cc3)CC2)cnn1C,Clc1ccc(-n2c(-c3ccccc3Cl)nc3c(Cl)ncnc32)cc1>>Cc1c(CN2CCNCC2)cnn1C.Cc1c(CN2CCN(c3ncnc4c3nc(-c3ccccc3Cl)n4-c3ccc(Cl)cc3)CC2)cnn1C,"['686344-50-3', '1001757-60-3']",2230085-58-0,31-172-CAS-18933687,1,1,100,121-44-8,64-17-5,capped vessel used,Blocking Alcoholic Steatosis in Mice with a Peripherally Restricted,"Amato, George S.; Manke, Amruta; Harris, Danni L.; Wiethe, Robert W.;","Journal of Medicinal Chemistry (2018), 61(10), 4370-4385",,,,,,,
NC1CCCC1,Cc1ccc(S(=O)(=O)OCCCOc2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)cc1.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(OCCCNC3CCCC3)cc12,NC1CCCC1>>Cc1ccc(S(=O)(=O)OCCCOc2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)cc1.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(OCCCNC3CCCC3)cc12,"['1003-03-8', '925450-03-9']",925449-57-6,31-031-CAS-10045254,1,1,100,,109-99-9,"product also isolated as hydrochloride salt in yield 96%, reaction in a",Preparation of substituted-3-sulfonylindazole derivatives as 5-HT6,"Elokdah, Hassan Mahmoud; Greenfield, Alexander Alexei; Liu, Kevin;","United States, US20070037802 A1 2007-02-15",,Cyclopentyl-{3-[3-(naphthalene-1-sulfonyl)-1H-indazol-5-yloxy]-propyl}-amine,,,,,
COC(=O)N=NC(=O)OC,O=c1cccccc1OCc1ccc(F)cc1.COC(=O)N1C2C=CC(=O)C(OCc3ccc(F)cc3)(C=C2)N1C(=O)OC,COC(=O)N=NC(=O)OC>>O=c1cccccc1OCc1ccc(F)cc1.COC(=O)N1C2C=CC(=O)C(OCc3ccc(F)cc3)(C=C2)N1C(=O)OC,"['2446-84-6', '1002736-86-8']",1002736-93-7,31-290-CAS-12400146,1,1,100,,108-88-3,"regioselective, stereoselective, hetero Diels-Alder reaction condition",Synthesis and in vitro protozoocidal evaluation of novel diazabicyclic,"Khrizman, Alexander; Slack, Rachel D.; Remsing, Richard C.; Little,","Archiv der Pharmazie (Weinheim, Germany) (2007), 340(11), 569-576",,,,,,,
NC1CCCC1,CCOC(=O)c1cnc(SC)nc1Cl.CCOC(=O)c1cnc(SC)nc1NC1CCCC1,NC1CCCC1>>CCOC(=O)c1cnc(SC)nc1Cl.CCOC(=O)c1cnc(SC)nc1NC1CCCC1,"['1003-03-8', '5909-24-0']",211245-62-4,31-172-CAS-3610690,1,1,100,121-44-8,75-09-2,literature preparation,Protection of renal tissues from schema through inhibition of the,"Dirocco, Derek Paul; Sharpless, Norman E.; Strum, Jay Copeland; Bisi,","World Intellectual Property Organization, WO2012068381 A2 2012-05-24",,,,,,,
NC1CCCC1,CCOC(=O)c1cnc(SC)nc1Cl.CCOC(=O)c1cnc(SC)nc1NC1CCCC1,NC1CCCC1>>CCOC(=O)c1cnc(SC)nc1Cl.CCOC(=O)c1cnc(SC)nc1NC1CCCC1,"['1003-03-8', '5909-24-0']",211245-62-4,31-172-CAS-3543509,1,1,100,121-44-8,75-09-2,literature preparation,Hematopoietic protection against chemotherapeutic compounds using,"Sharpless, Norman E.; Strum, Jay C.; Bisi, John E.; Roberts, Patrick J.;","World Intellectual Property Organization, WO2010039997 A2 2010-04-08",,,,,,,
O=C(O)c1ccc(C(=O)O)nc1,O=C(O)c1cccnc1,O=C(O)c1ccc(C(=O)O)nc1>>O=C(O)c1cccnc1,100-26-5,59-67-6,31-109-CAS-3985575,1,1,100,,7732-18-5,230.deg.,Preparative method for obtaining nicotinic acid and its amide from,"Suvorov, B. V.; Bakirova, S. B.; Serazetdinova, V. A.; Ishayeva, D. T.","Khimiko-Farmatsevticheskii Zhurnal (1992), 26(11-12), 81-3",,,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,SCCS.CC1(c2ccc([N+](=O)[O-])cc2)SCCS1,CC(=O)c1ccc([N+](=O)[O-])cc1>>SCCS.CC1(c2ccc([N+](=O)[O-])cc2)SCCS1,"['100-19-6', '540-63-6']",41159-13-1,31-307-CAS-11652648,1,1,100,,75-05-8,"chemoselective, flow technique","An efficient, continuous flow technique for the chemoselective synthesis","Wiles, Charlotte; Watts, Paul; Haswell, Stephen J.","Tetrahedron Letters (2007), 48(41), 7362-7365",9037-24-5,,,,,,
CC(C)c1ccc(C(C)C)cc1,CC(C)c1ccc(C(C)(C)OO)cc1,CC(C)c1ccc(C(C)C)cc1>>CC(C)c1ccc(C(C)(C)OO)cc1,100-18-5,98-49-7,31-207-CAS-424149,1,1,100,7782-44-7,,"optimization study, optimized on temperature, speed, stoichiometry,",Preparation of p-diisopropylbenzene hydroperoxide by diisopropylbenzene,"Luo, Ge; Shi, Kaimin; Liu, Xinwen; Chu, Xiaodong; Shao, Jingming","China, CN101851187 A 2010-10-06",75-59-2,,,,,,
NC1CCCC1,CN(c1ccccc1)c1ncnc(Cl)c1[N+](=O)[O-].CN(c1ccccc1)c1ncnc(NC2CCCC2)c1[N+](=O)[O-],NC1CCCC1>>CN(c1ccccc1)c1ncnc(Cl)c1[N+](=O)[O-].CN(c1ccccc1)c1ncnc(NC2CCCC2)c1[N+](=O)[O-],"['1003-03-8', '54660-13-8']",888079-01-4,31-172-CAS-16946681,1,1,100,584-08-7,108-88-3,Buchwald-Hartwig coupling,Palladium-catalyzed amination of chloro-substituted 5-nitropyrimidines,"Liu, Meng-Meng; Mei, Qiong; Zhang, Yi-Xiao; Bai, Peng; Guo, Xiang-Hai","Chinese Chemical Letters (2017), 28(3), 583-587","['51364-51-3', '76189-55-4']",,,,,,
NNc1ccc([N+](=O)[O-])cc1,COC(=O)CC(=O)c1cncc(Br)c1.O=[N+]([O-])c1ccc(-n2nc(-c3cncc(Br)c3)cc2O)cc1,NNc1ccc([N+](=O)[O-])cc1>>COC(=O)CC(=O)c1cncc(Br)c1.O=[N+]([O-])c1ccc(-n2nc(-c3cncc(Br)c3)cc2O)cc1,"['100-16-3', '205985-97-3']",245748-78-1,31-310-CAS-21125045,1,1,100,7647-01-0,"['64-17-5', '123-91-1']",alternative reaction conditions shown,Preparation of azole inhibitors of cytokine production,"Bamaung, Nwe Y.; Basha, Anwer; Djuric, Stevan W.; Gubbins, Earl J.; Luly,","United States, US20010044445 A1 2001-11-22",,General/Typical Procedure: 3-(3-furyl)-1-(4-nitrophenyl)-1H-pyrazo5-ol,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,Oc1ccccc1.CC(=O)c1ccc(Oc2ccccc2)cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>Oc1ccccc1.CC(=O)c1ccc(Oc2ccccc2)cc1,"['100-19-6', '108-95-2']",5031-78-7,31-196-CAS-15153321,1,2,100,"['584-08-7', '1310-73-2']","['68-12-2', '7732-18-5']","green chemistry, green chemistry-catalyst, reusable catalyst",Ligand-Free Copper-Catalyzed Coupling of Phenols with Nitroarenes by,"Phan, Nam T. S.; Nguyen, Tung T.; Nguyen, Vu T.; Nguyen, Khoa D.","ChemCatChem (2013), 5(8), 2374-2381",382147-67-3,,,,,,
c1cn[nH]c1,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[OH-].CCCCCCCCCCCCCCCC[N+](C)(C)CC.c1cn[n-]c1,c1cn[nH]c1>>CCCCCCCCCCCCCCCC[N+](C)(C)CC.[OH-].CCCCCCCCCCCCCCCC[N+](C)(C)CC.c1cn[n-]c1,"['288-13-1', '100173-89-5']",2245138-93-4,31-575-CAS-22110884,1,1,100,,"['64-17-5', '7732-18-5']","ionic liquid used (reactant), product is an ionic liquid",Switchable oil-water phase separation of ionic liquid-based,"Pei, Xiaoyan; Xiong, Dazhen; Pei, Yuanchao; Wang, Huiyong; Wang, Jianji","Green Chemistry (2018), 20(18), 4236-4244",,,,,,,
S=C=S,NC1CCCC1.S=C=NC1CCCC1,S=C=S>>NC1CCCC1.S=C=NC1CCCC1,"['75-15-0', '1003-03-8']",33522-03-1,31-318-CAS-13642585,1,2,100,"['121-44-8', '24424-99-5']",64-17-5,"chemoselective, DABCO also can be used as a catalyst",A new efficient synthesis of isothiocyanates from amines using,"Munch, Henrik; Hansen, Jon S.; Pittelkow, Michael; Christensen, Jorn B.;","Tetrahedron Letters (2008), 49(19), 3117-3119",1122-58-3,,,,,,
O=C(O)c1ccc(F)c([N+](=O)[O-])c1,Nc1cc(C(=O)O)ccc1NCc1ccco1.NC1CCCC1.O=C(O)c1ccc2c(c1)nc(-c1ccc(NC3CCCC3)c([N+](=O)[O-])c1)n2Cc1ccco1,O=C(O)c1ccc(F)c([N+](=O)[O-])c1>>Nc1cc(C(=O)O)ccc1NCc1ccco1.NC1CCCC1.O=C(O)c1ccc2c(c1)nc(-c1ccc(NC3CCCC3)c([N+](=O)[O-])c1)n2Cc1ccco1,"['453-71-4', '284673-09-2', '1003-03-8']",1332365-03-3,31-172-CAS-283538,1,3,100,"['538-75-0', '7487-88-9']","['75-09-2', '107-06-2']","microwave irradiation ((stages 1), solid-supported reaction (PEG 4000",Microwave assisted straightforward synthetic method for benzimidazole,"Chou, Cheng-Ting; Yellol, Gorakh S.; Chang, Wong-Jin; Sun, Mei-Lian; Sun,","Tetrahedron (2011), 67(11), 2110-2117","['1122-58-3', '76-05-1']",,PEG 4000-supported,,,PEG 4000-supported,
O=C(Cl)c1ccc(C(=O)Cl)cc1,COc1ccccc1-c1ccccc1OC.*C(=O)c1ccc(C(=O)c2ccc(OC)c(-c3cc(*)ccc3OC)c2)cc1,O=C(Cl)c1ccc(C(=O)Cl)cc1>>COc1ccccc1-c1ccccc1OC.*C(=O)c1ccc(C(=O)c2ccc(OC)c(-c3cc(*)ccc3OC)c2)cc1,"['100-20-9', '4877-93-4']",148057-53-8,31-614-CAS-30164813,1,2,100,"['7446-70-0', '7647-01-0']","['75-52-5', '107-06-2', '67-56-1']","Friedel-Crafts acylation, yield depends on stoichiometry of reactants",Synthesis of aromatic polyketones by nonstoichiometric Friedel-Crafts,"Matsumoto, Kazuya; Fukui, Chisa; Shoji, Riku; Jikei, Mitsutoshi","Polymer Chemistry (2020), 11(26), 4221-4227",,,,,,,
OB(O)c1ccccc1,O=[N+]([O-])c1ccc(CCl)cc1.O=[N+]([O-])c1ccc(Cc2ccccc2)cc1,OB(O)c1ccccc1>>O=[N+]([O-])c1ccc(CCl)cc1.O=[N+]([O-])c1ccc(Cc2ccccc2)cc1,"['98-80-6', '100-14-1']",1817-77-2,31-179-CAS-561731,1,1,100,584-08-7,1330-20-7,Suzuki cross-coupling,Suzuki cross-coupling reaction of benzylic halides with arylboronic acids,"Chahen, Ludovic; Doucet, Henri; Santelli, Maurice","Synlett (2003), (11), 1668-1672","['12012-95-2', '333380-86-2']","General/Typical Procedure: As a typical experiment, the reaction of",,,,,
O=C(Br)CBr,NC1CCCC1.O=C(CBr)NC1CCCC1,O=C(Br)CBr>>NC1CCCC1.O=C(CBr)NC1CCCC1,"['598-21-0', '1003-03-8']",883521-80-0,31-365-CAS-2667111,1,1,100,584-08-7,"['75-09-2', '7732-18-5']",product is further derivatized with,Cyclization and unsaturation rather than isomerization of side chains,"Uppu, D. S. S. M.; Bhowmik, M.; Samaddar, S.; Haldar, J.","Chemical Communications (Cambridge, United Kingdom) (2016), 52(25),",,,,,,,
