Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:CAT:AMD,RXN:PRO:AMD,RXN:VAR:RGT:AMD
Nc1ccc([N+](=O)[O-])cc1,CC(=O)OC(C)=O.CC(=O)Nc1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1>>CC(=O)OC(C)=O.CC(=O)Nc1ccc([N+](=O)[O-])cc1,"['100-01-6', '108-24-7']",104-04-1,31-366-CAS-22253080,1,1,100,121-44-8,75-09-2,,unspecified anhydride used as reactant,Development of potent inhibitors of the human microsomal epoxide,"Barnych, Bogdan; Singh, Nalin; Negrel, Sophie; Zhang, Yue; Magis, Damien;","European Journal of Medicinal Chemistry (2020), 193112206",,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-40044062,1,1,100,16940-66-2,7732-18-5,,"catalyst prepared and used, reusable catalyst",Facile Cu-MOF-derived Co3O4 mesoporous-structure as a cooperative,"Malmir, Masoume; Heravi, Majid M.; Shafiei Toran Poshti, Elham","Scientific Reports (2024), 14(1), 6846","['70-47-3', '142-71-2', '1308-06-1', '1034343-98-0']","['reaction produts with copper acetate and graphene oxide', 'oxide, reaction produts with copper acetate and asparagine']",,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-40233929,1,1,100,16940-66-2,7732-18-5,,copper oxides supported sulfur-doped porous carbon catalyst prepared and,Copper oxides supported sulfur-doped porous carbon material as a,"Amirjan, Marzie; Nemati, Firouzeh; Elahimehr, Zeinab; Rangraz, Yalda","Scientific Reports (2024), 14(1), 5491","['1317-38-0', '7440-44-0', '7704-34-9']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-39509208,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,"solid-supported catalyst, reusable catalyst, catalyst prepared and used,",Graphene quantum dots-incorporated ZIF-67 for stabilization of Au,"Naghshbandi, Zhwan; Gholinejad, Mohammad; Sansano, Jose M.; Eskandari,","Applied Organometallic Chemistry (2024), 38(4), e7400","['7440-57-5', '1034343-98-0']","['graphene supported/zeolite functionalized', 'zeolite functionalized']",,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-39790930,1,2,100,16940-66-2,"['64-17-5', '7732-18-5']",,"N-S-Co-doped porous carbon heterogeneous catalysts prepared and used,",Fast and efficient reduction of nitroaromatic compounds with copper,"Tabashiri, Leila; Elahimehr, Zeinab; Nemati, Firouzeh","Diamond and Related Materials (2024), 144110971","['7704-34-9', '222404-02-6']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-38820072,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,"solid-supported catalyst, Pd nanoparticles decorated nitrogen-doped holey",Pd nanoparticles decorated N-doped holey graphene assembled on aluminum,"Zhao, Jiahan; Zhang, Anqi; Li, Yingshuang; Hu, Hanyu; Xi, Jiangbo","Chemical Engineering Science (2024), 286119656","['1335-30-4', '7440-05-3', '17778-88-0', '1034343-98-0']",oxide or reduced,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-38274943,1,1,100,16940-66-2,7732-18-5,,"catalyst prepared and used, reusable catalyst",Graphenic molybdenum disulfide nanocomposites as heterogeneous,"Abedinpour, Saiedeh; Mahkam, Mehrdad; Zonouz, Adeleh Moshtaghi","Journal of Photochemistry and Photobiology, A: Chemistry (2024),","['1317-33-5', '1317-61-9', '1034343-98-0']",oxide,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-39048162,1,1,100,7803-57-8,7732-18-5,,"catalyst prepared and used, recyclable catalyst, CuNi0.05/OC used as",Catalyst for encapsulating dilute alloy nanoparticle and preparation,"Yang, Shihe; Hong, Mei; Yuan, Haifeng; Gao, Jinqiang","China, CN117399012 A 2024-01-16",1449245-09-3,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-42359138,1,1,100,16940-66-2,7732-18-5,,"catalyst prepared and used, reusable catalyst","N,S-Doped Ordered Mesoporous Carbon: An Effective Catalyst for the","Eftekhari-Sis, Bagher; Jalalat, Maryam; Vahdati-Khajeh, Saleh; Samadi,","ChemistrySelect (2024), 9(35), e202402858","['7440-05-3', '7440-44-0']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-42190461,1,1,100,7757-83-7,7732-18-5,,"photochemical (300 W Xe lamp used), solid-supported catalyst (CdS on",Atomically precise Ag25(SR)18 nanoclusters: a stable photosensitizer for,"Zhan, Linjian; Zhang, Junyi; Ning, Boyuan; He, Yunhui; Xiao, Guangcan;","Inorganic Chemistry Frontiers (2024), 11(22), 7991-8002","['1306-23-6', '2122283-75-2']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-41845572,1,2,100,16940-66-2,7732-18-5,,"catalyst prepared and used, recyclable catalyst upto 5 cycles without","Selenium-doped porous-C3N4 decorated with Cu NPs, as an operative","Nouri, Nahid Sadat; Nemati, Firouzeh; Mirhosseyni, Marzie Sadat","Journal of Molecular Structure (2024), 1316139057","['7440-50-8', '7782-49-2', '143334-20-7']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-41742653,1,1,100,7803-57-8,"['67-56-1', '75-05-8', '75-09-2']",,"photochemical, ultrasound, LED lamp (lambda > 420 nm, 30 W) used,",Efficient photocatalytic reduction of nitroaromatic compounds at visible,"Sohrabi-Gilani, Nastaran; Moghanlou, Ali Oji; Mehdizadeh, Hajar","Inorganica Chimica Acta (2024), 572122307","['14059-33-7', '143334-20-7']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-38357453,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,"green chemistry-catalyst, solid-supported catalyst (palladium supported",Dual-active-component assembly catalyst based continuous flow system for,"Hu, Hanyu; Zhao, Jiahan; Xi, Jiangbo","Chemical Engineering Journal (Amsterdam, Netherlands) (2023), 477147046","['1327-36-2', '7440-05-3', '1034343-98-0']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-36454740,1,1,100,1333-74-0,64-17-5,,"solid-supported catalyst, selectivity 99%, autoclave used, COF-C6 support",Tuning the Surface Wettability of Pd/COFs for Selective Hydrogenation,"Li, Xiang; Li, He; Li, Chunzhi; Wang, Maodi; Yang, Qihua","ChemCatChem (2023), 15(12), e202300002",7440-05-3,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-35122641,1,1,100,1333-74-0,67-56-1,,autoclave used,Boosting hydrogenation properties of Pt single-atom catalysts via,"Zhang, Hao; Zhang, Xingcong; Sun, Qingdi; He, Qian; Ji, Hongbing; He,","Chemical Engineering Journal (Amsterdam, Netherlands) (2023), 455140808",7440-06-4,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-33908425,1,2,100,16940-66-2,"['7732-18-5', '141-78-6']",,solid-supported catalyst (silver nanoparticles supported on alpha-Al2O3,Morphologically tailored facet dependent silver nanoparticles supported,"Rajendiran, Rajesh; Seelam, Prem Kumar; Patchaiyappan, Arunkumar; Balla,","Chemical Engineering Journal (Amsterdam, Netherlands) (2023),","['1344-28-1', '7440-22-4']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-36427187,1,1,100,16940-66-2,7732-18-5,,"green chemistry-catalyst, catalyst prepared and used, recyclable catalyst",Catalytic performance of PVP-coated CuO nanosheets under environmentally,"Shahmiri, Mahdi; Bayat, Saadi; Kharrazi, Sharmin","RSC Advances (2023), 13(19), 13213-13223",1317-38-0,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-33982306,1,1,100,1333-74-0,"['64-17-5', '7732-18-5']",,"solid-supported catalyst, catalyst prepared and used",Pd on cyclotriphosphazene-hexaimine decorated boehmite as an efficient,"Sadjadi, Samahe; Abedian-Dehaghani, Neda; Heravi, Majid M.","Scientific Reports (2022), 12(1), 15040","['7440-05-3', '2824987-81-5']","['nanoparticles immobilized on cyclotriphosphazene-hexaimine decorated', 'palladium(0) complex, boehmite-supported']",,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-35217428,1,1,100,16940-66-2,7732-18-5,,catalyst prepared and used,Direction of theoretical and experimental investigation into the,"Sisakhti, Zohreh Nouripour; Malmir, Masoume; Bisafar, Masoumeh Bagheri;","Scientific Reports (2022), 12(1), 21964","['85-41-6', '1306-06-5', '7440-22-4']",reaction products with (3-chloroprppyl) trimethoxysilane and silica,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-34090637,1,1,100,16940-66-2,7732-18-5,,"green chemistry-catalyst, carob gum supported palladium catalyst prepared",Pd supported on locust bean gum as reusable green catalyst for Heck and,"Ben Romdhane, Rabeb; Atoui, Dhieb; Ketata, Nahed; Dali, Souad; Moussaoui,","Applied Organometallic Chemistry (2022), 36(11), e6870","['7440-05-3', '9000-40-2']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-34212824,1,1,100,16940-66-2,7732-18-5,,solid-supported catalyst (gold nanoparticles supported on CuO catalyst,Gold nanoparticles supported on NiO and CuO: The synergistic effect,"Gholinejad, Mohammad; Khezri, Rahimeh; Nayeri, Sara; Vishnuraj,","Molecular Catalysis (2022), 530112601","['1317-38-0', '7440-57-5']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-34232877,1,1,100,1333-74-0,67-56-1,,"high pressure, optimization study, optimized on reaction conditions,",Preparation of p-phenylenediamine,"Lin, Heyang; Li, Bing; Liu, Kai; Zhang, Li; Zhao, Feifei","China, CN115093330 A 2022-09-23","['7440-02-0', '7631-86-9']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-41192380,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,solid-supported catalyst (nitrogen-doped porous graphene- aluminum,Assembled catalytic filler and its preparation method and application in,"Xi, Jiangbo; Hu, Hanyu","China, CN114700063 A 2022-07-05","['1335-30-4', '1034343-98-0']",oxide,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-32039461,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,"Fe3O4@Triazole-CS@NNN-Pd catalyst prepared and used, alternate reaction",Catalytic reduction of nitroarenes and degradation of dyes at room,"Rafiee, F.; Rezaee, M.","Reactive & Functional Polymers (2022), 172105208","['1317-61-9', '7440-05-3', '9012-76-4']",palladium complexes,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-31656065,1,1,100,1333-74-0,64-17-5,,"high pressure, thermal, nitrogen-doped carbon-supported cobalt catalyst",Preparation method of cobalt metal-nitrogen co-doped carbon material,"Wang, Junke; Zong, Yingxiao; Liu, Xiaochun; Yang, Faxiang; Zhang, Jialin;","China, CN114210332 A 2022-03-22",7440-48-4,N-doped carbon-supported,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-33441262,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,catalyst prepared and used,N-Doped holey graphene assembled on fibrous aluminum silicate for,"Hu, Hanyu; Du, Shuaihu; Xi, Jiangbo","Green Chemistry (2022), 24(13), 5255-5262","['1335-30-4', '1034343-98-0']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-24006109,1,2,100,16940-66-2,7732-18-5,,"green chemistry-solvent, solid-supported catalyst (Ag nanoparticles",Ag nanoparticles immobilized on new magnetic alginate halloysite as a,"Mohammadi, Pourya; Heravi, Majid; Daraie, Mansoureh","Scientific Reports (2021), 11(1), 17124","['1317-61-9', '7440-22-4']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-24179665,1,1,100,"['1333-74-0', '13774-81-7']",67-56-1,,"catalyst prepared and used, catalyst can be recycled and reused,",Binary CuO/TiO2 nanocomposites as high-performance catalysts for tandem,"Li, Ping; Zhang, Xianwen; Wang, Jingxia; Xu, Bin; Zhang, Xiaobin; Fan,","Colloids and Surfaces, A: Physicochemical and Engineering Aspects (2021),","['1317-38-0', '13463-67-7']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-31127368,1,1,100,7803-57-8,64-17-5,,"catalyst prepared and used, recyclable catalyst, selectivity >99.9 %,",Highly efficient N-doped carbon supported FeSx-Fe2O3 catalyst for,"Li, Xuewei; She, Wei; Wang, Jing; Li, Weizuo; Li, Guangming","Applied Organometallic Chemistry (2021), 35(8), e6294","['1309-37-1', '7440-44-0', '11126-12-8']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-23735368,1,1,100,1333-74-0,64-17-5,,"photochemical (UV lamp (365 nm) used), solid-supported catalyst",Facet Engineering of Pd Nanocrystals for Enhancing Photocatalytic,"Lu, Suwei; Weng, Bo; Chen, Aizhu; Li, Xinwei; Huang, Haowei; Sun,","ACS Applied Materials & Interfaces (2021), 13(11), 13044-13054","['7440-05-3', '13463-67-7']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-23143795,1,1,100,16940-66-2,7732-18-5,,"reusable catalyst, catalyst prepared and used, Candida parapsilosis ATCC",Yeast supported gold nanoparticles: an efficient catalyst for the,"Krishnan, Saravanan; Patel, Paresh N.; Balasubramanian, Kalpattu K.;","New Journal of Chemistry (2021), 45(4), 1915-1923",7440-57-5,Candida parapsilosis-supported,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-23030474,1,1,100,16940-66-2,,,solid-supported catalyst (silver nanoparticles supported on,Ag nanoparticles immobilized on new mesoporous triazine-based carbon,"Vahedi-Notash, Narges; Heravi, Majid M.; Alhampour, Ali; Mohammadi,","Scientific Reports (2020), 10(1), 19322","['7440-22-4', '7440-44-0']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-23136336,1,1,100,"['1333-74-0', '14720-35-5']","['67-56-1', '7732-18-5']",,"solid-supported catalyst, copper/nickel supported on graphene oxide",Preparation method of supported Cu-Ni bimetallic catalyst and its,"Huang, Fei; Wang, Jing; Wang, Xixi; Sun, Jinyu; Li, Changjiang; Lan,","China, CN111659400 A 2020-09-15","['7440-02-0', '7440-50-8']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-614-CAS-37089662,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,cobalt/copper bimetallic zeolitic imidazolate framework catalyst prepared,Co/Cu bimetallic ZIF as New heterogeneous catalyst for reduction of,"Gholinejad, Mohammad; Naghshbandi, Zhwan; Sansano, Jose M.","Applied Organometallic Chemistry (2020), 34(4), e5522",,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20768958,1,1,100,1333-74-0,7732-18-5,,"solid-supported catalyst, ionic liquid catalyst prepared and used,",Palladated Nanocomposite of Halloysite-Nitrogen-Doped Porous Carbon,"Sadjadi, Samahe; Akbari, Maryam; Heravi, Majid M.","ACS Omega (2019), 4(21), 19442-19451","['3375-31-3', '16940-66-2']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20689715,1,1,100,13774-81-7,64-17-5,,"silver rhombic octahedra catalyst prepared and used, optimization study,","Formation of Silver Rhombic Dodecahedra, Octahedra, and Cubes through","Madasu, Mahesh; Hsieh, Pei-Lun; Chen, Ying-Jui; Huang, Michael H.","ACS Applied Materials & Interfaces (2019), 11(41), 38039-38045",7440-22-4,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20761841,1,1,100,1333-74-0,67-56-1,,"low pressure, fixed bed reactor used",Method for preparing aromatic amine by continuous hydrogenation of nitro,"Feng, Xiujuan; Fang, Dingqiao; Bao, Ming; Yu, Xiaoqiang; Zhang, Sheng","China, CN109796346 A 2019-05-24",7440-05-3,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-19852986,1,1,100,1333-74-0,109-99-9,,"high pressure, solid-supported catalyst, thermal, reaction in a Schlenk",Atomically precise Ag nanoclusters intercalated in zirconium,"Gong, Honghui; Lin, Lina; Zhao, Xiuge; Li, Huan; Li, Difan; Xu, Zichen;","Applied Catalysis, A: General (2019), 5741-9",2126042-03-1,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20489444,1,2,100,1333-74-0,,,"high pressure, solid-supported catalyst, nickel supported on silicon",Method for preparing p-phenylenediamine by catalytic hydrogenation of,"Wu, Hongbin; Xu, Haitao; Li, Mingbo; Zhu, Jibao; Guo, Xuanliang; Yu,","China, CN109503386 A 2019-03-22",7440-02-0,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20257822,1,1,100,7803-57-8,,,"green chemistry, microwave irradiation, solid state, 600W used,",Production process of p-phenylenediamine,"Qu, Xueyong","China, CN109369416 A 2019-02-22",1344-28-1,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20008555,1,1,100,1333-74-0,109-99-9,,"high pressure, thermal, catalyst prepared and used, flow micro reactor",Amino-Modified Silica-Supported Copper-Palladium Alloy. Synthesis and Use,"Nurmukhametova, A. T.; Belov, R. N.; Sultanova, E. D.; Vorob'ev, V. V.;","Russian Journal of Organic Chemistry (2019), 55(1), 1-6","['7440-05-3', '7440-50-8']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20017084,1,1,100,1333-74-0,"['64-17-5', '7732-18-5']",,"green chemistry, high pressure, sealed autoclave used, industrial,",Method for synthesizing p-phenylenediamine by catalytic hydrogenation of,"Shi, Yufei; Wang, Shuaipo; Wang, Ronghai; Zhang, Hai; Wang, Zhe; Jia,","China, CN109134268 A 2019-01-04","['1643-19-2', '7440-06-4']",on carbon,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-19945252,1,2,100,7803-57-8,64-17-5,,"green chemistry, soybean pulp derived N-doped carbon material(RNC-600)",Renewable Soybean Pulp Derived N-Doped Carbon Materials for Efficient,"Lv, Jing; Zheng, Yunfeng; Zhu, Yangyang; Yuan, Man; Chang, Yanlong; Dong,","ChemistrySelect (2019), 4(14), 4083-4091",7440-44-0,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20544798,1,1,100,7782-44-7,75-05-8,,"photochemical, solid-supported catalyst, recyclable catalyst,visible",Metal-free and heterogeneous photocatalytic reduction of 4-nitroaniline,"Chibac, Andreea L.; Melinte, Violeta; Brezova, Vlasta; Renard, Estelle;","ChemCatChem (2019), 11(14), 3307-3317","['17372-87-1', '129914-67-6']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-20749239,1,1,100,13774-81-7,"['67-56-1', '7732-18-5']",,"reusable catalyst, rhodium encapsulate silicalite-1 (Rh@S-1-H) catalyst",Zeolite-Encaged Single-Atom Rhodium Catalysts: Highly-Efficient Hydrogen,"Sun, Qiming; Wang, Ning; Zhang, Tianjun; Bai, Risheng; Mayoral, Alvaro;","Angewandte Chemie, International Edition (2019), 58(51), 18570-18576",7440-16-6,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-19568574,1,1,100,"['124-38-9', '1333-74-0']",,,"high pressure, sealed autoclave used",Preparation method of p-phenylenediamine,"Mao, Weibing; Yu, Yang; Ji, Luojun","China, CN108658781 A 2018-10-16",7440-02-0,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-19327870,1,1,100,1333-74-0,64-17-5,,"photochemical (300W Xe lamp irradiation (400-800 nm) used),",Synergistic Effect of Segregated Pd and Au Nanoparticles on,"Hao, Cai-Hong; Guo, Xiao-Ning; Sankar, Meenakshisundaram; Yang, Hong; Ma,","ACS Applied Materials & Interfaces (2018), 10(27), 23029-23036","['409-21-2', '7440-05-3', '7440-57-5']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-19850523,1,1,100,1333-74-0,64-17-5,,"solid-supported catalyst (CeO2 supported Ni catalyst prepared and used,",High Catalytic Performance of a CeO2-Supported Ni Catalyst for,"She, Wei; Qi, Tianqinji; Cui, Mengxing; Yan, Pengfei; Ng, Seik Weng; Li,","ACS Applied Materials & Interfaces (2018), 10(17), 14698-14707","['7440-02-0', '2290541-50-1']",,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-18791234,1,1,100,1333-74-0,7732-18-5,,"green chemistry-catalyst, high pressure, solid-supported catalyst,",Continuous synthesis method of high-purity p-phenylenediamine,"Yuan, Junxiu; Chu, Zheng; Jiang, Ruijing; Huang, Dong","China, CN107619375 A 2018-01-23",7440-02-0,,,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-18432286,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",,"solid-supported catalyst, reusable catalyst, palladium supported on",Nitro group reduction and Suzuki reaction catalysed by palladium,"Gholinejad, Mohammad; Zareh, Fatemeh; Najera, Carmen","Applied Organometallic Chemistry (2018), 32(1), n/a","['7440-05-3', '7440-44-0']","['Fe3O4 supported nitrogen-doped carbon quantom dot supported', 'Fe3O4 nanoparticle supported']",,
Nc1ccc([N+](=O)[O-])cc1,Nc1ccc(N)cc1,Nc1ccc([N+](=O)[O-])cc1>>Nc1ccc(N)cc1,100-01-6,106-50-3,31-522-CAS-18738236,1,1,100,64-18-6,"['64-17-5', '7732-18-5']",,"green chemistry, solid-supported catalyst, reusable catalyst, Pd-doped Ni",Pd-doped Ni nanoparticle-modified N-doped carbon nanocatalyst with high,"Cui, Xueliang; Long, Yu; Zhou, Xia; Yu, Guiqin; Yang, Jin; Yuan, Man; Ma,","Green Chemistry (2018), 20(5), 1121-1130","['7440-02-0', '7440-05-3', '7440-44-0']",,,
