Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:CAT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:RGT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:CAT:AMD
CC(=O)C1=CC(=O)c2ccccc2C1=O,C=CC(C(=O)OC)[Si](C)(C)c1ccccc1.COC(=O)/C=C/CC1C(=O)c2ccccc2C(O)=C1C(C)=O,CC(=O)C1=CC(=O)c2ccccc2C1=O>>C=CC(C(=O)OC)[Si](C)(C)c1ccccc1.COC(=O)/C=C/CC1C(=O)c2ccccc2C(O)=C1C(C)=O,"['5813-57-0', '82654-01-1']",83039-90-1,31-254-CAS-11481905,1,1,100,,75-09-2,"regioselective, SnCl4/CH2Cl2, 0 C/2 h., Addition, Alkylation, Allylic,",The electrophilic substitution of allylsilanes and vinylsilanes,"Fleming, Ian; Dunogues, Jacques; Smithers, Roger","Organic Reactions (Hoboken, NJ, United States) (1989), 37No pp. given",7646-78-8,,
COc1cc(OC)cc(-c2cc3ccccc3[nH]2)c1,Cc1[nH]c2ccccc2c1C1=C(Cl)C(=O)C=C(Cl)C1=O.COc1cc(OC)cc(-c2[nH]c3ccccc3c2C2=C(Cl)C(=O)C(c3c(C)[nH]c4ccccc34)=C(Cl)C2=O)c1,COc1cc(OC)cc(-c2cc3ccccc3[nH]2)c1>>Cc1[nH]c2ccccc2c1C1=C(Cl)C(=O)C=C(Cl)C1=O.COc1cc(OC)cc(-c2[nH]c3ccccc3c2C2=C(Cl)C(=O)C(c3c(C)[nH]c4ccccc34)=C(Cl)C2=O)c1,"['58697-34-0', '329015-19-2']",947384-90-9,31-254-CAS-3799062,1,1,100,,109-99-9,"combinatorial, celite used",Parallel Synthesis of Indolylquinones and Their Cell-Based Insulin,"Pirrung, Michael C.; Li, Zhitao; Hensley, Erika; Liu, Yufa; Tanksale,","Journal of Combinatorial Chemistry (2007), 9(5), 844-854","['534-16-7', '54010-75-2']",General/Typical Procedure: Protocol A. To each of 10 Argonaut Quest,
N#CCC#N,CN1C/C(=C\c2ccc(Cl)cc2Cl)C(=O)/C(=C/c2ccc(Cl)cc2Cl)C1.CN1CC2=C(OC(N)=C(C#N)C2c2ccc(Cl)cc2Cl)/C(=C/c2ccc(Cl)cc2Cl)C1,N#CCC#N>>CN1C/C(=C\c2ccc(Cl)cc2Cl)C(=O)/C(=C/c2ccc(Cl)cc2Cl)C1.CN1CC2=C(OC(N)=C(C#N)C2c2ccc(Cl)cc2Cl)/C(=C/c2ccc(Cl)cc2Cl)C1,"['109-77-3', '1000374-18-4']",1000374-29-7,31-254-CAS-8463965,1,1,100,,,"green chemistry, solid state, reactants ground together using a mortar",Antimycobacterial activity of novel,"Kumar, Raju Ranjith; Perumal, Subbu; Menendez, J. Carlos; Yogeeswari,","Bioorganic & Medicinal Chemistry (2011), 19(11), 3444-3450",141-52-6,,
C=CC(=O)OCCCC,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.CCCCOC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,C=CC(=O)OCCCC>>CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.CCCCOC(=O)CC[C@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['141-32-2', '81477-94-3']",515871-90-6,31-254-CAS-7318847,1,1,100,1366421-69-3,141-78-6,"stereoselective, Michael addition, ee (98%)",Preparation of cyclopropenimines as catalyst and their use in,"Lambert, Tristan; Bandar, Jeffrey","World Intellectual Property Organization, WO2013059118 A1 2013-04-25",,General/Typical Procedure: Example 11. General Procedure for,
C=CC(C)=O,[H][C@@]12OC(C)(C)O[C@]1([H])[C@@H](COC(=O)C(C)C(C)=O)OC2=O.[H][C@@]12OC(C)(C)O[C@]1([H])[C@@H](COC(=O)C(C)(CCC(C)=O)C(C)=O)OC2=O,C=CC(C)=O>>[H][C@@]12OC(C)(C)O[C@]1([H])[C@@H](COC(=O)C(C)C(C)=O)OC2=O.[H][C@@]12OC(C)(C)O[C@]1([H])[C@@H](COC(=O)C(C)(CCC(C)=O)C(C)=O)OC2=O,"['78-94-4', '259800-72-1']",357435-84-8,31-254-CAS-513063,1,1,100,603-35-0,75-05-8,Michael addition,Michael additions catalyzed by phosphines. An overlooked synthetic method,"Gimbert, Carolina; Lumbierres, Maria; Marchi, Caroline; Moreno-Manas,","Tetrahedron (2005), 61(36), 8598-8605",,,
C[N+](=O)[O-],CC(=O)C=Cc1ccccc1.CC(=O)CC(C[N+](=O)[O-])c1ccccc1,C[N+](=O)[O-]>>CC(=O)C=Cc1ccccc1.CC(=O)CC(C[N+](=O)[O-])c1ccccc1,"['75-52-5', '122-57-6']",1574-86-3,31-254-CAS-1667685,1,1,100,138598-92-2,,"microwave irradiation, regioselective, conventional heating gave lower",Efficient microwave activation of hydrotalcite clays in Michael addition,"Vijaikumar, Sakthivel; Pitchumani, Kasi","Indian Journal of Chemistry, Section B: Organic Chemistry Including",,,
N#CCC#N,COc1ccccc1/C=C1\CN(C)C/C(=C\c2ccccc2OC)C1=O.COc1ccccc1/C=C1\CN(C)CC2=C1OC(N)=C(C#N)C2c1ccccc1OC,N#CCC#N>>COc1ccccc1/C=C1\CN(C)C/C(=C\c2ccccc2OC)C1=O.COc1ccccc1/C=C1\CN(C)CC2=C1OC(N)=C(C#N)C2c1ccccc1OC,"['109-77-3', '920030-41-7']",1000374-25-3,31-254-CAS-4157433,1,1,100,,,"green chemistry, solid state, reactants ground together using a mortar",Antimycobacterial activity of novel,"Kumar, Raju Ranjith; Perumal, Subbu; Menendez, J. Carlos; Yogeeswari,","Bioorganic & Medicinal Chemistry (2011), 19(11), 3444-3450",141-52-6,,
CC1CCC(=O)CC1,O=[N+]([O-])C=Cc1ccc(Br)cc1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccc(Br)cc2)CC(C)CCC1=O,CC1CCC(=O)CC1>>O=[N+]([O-])C=Cc1ccc(Br)cc1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccc(Br)cc2)CC(C)CCC1=O,"['589-92-4', '3156-37-4']",2101275-78-7,31-254-CAS-17778751,1,2,100,"['65-85-0', '23356-96-9']",108-20-3,"stereoselective, ee (94%), diastereomeric ratio (86:14), Michael addition",Asymmetric Synthesis of Functionalized Nitrophenols via a,"Liu, Xue-Li; Zhang, Xiao-Long; Guo, Yan-Jun; Meng, Chen-Hong; Xia,","Asian Journal of Organic Chemistry (2017), 6(8), 967-972",,,
CC(C)(C)c1cc2ccccc2[nH]1,Cc1[nH]c2ccccc2c1C1=C(Cl)C(=O)C=C(Cl)C1=O.Cc1[nH]c2ccccc2c1C1=C(Cl)C(=O)C(c2c(C(C)(C)C)[nH]c3ccccc23)=C(Cl)C1=O,CC(C)(C)c1cc2ccccc2[nH]1>>Cc1[nH]c2ccccc2c1C1=C(Cl)C(=O)C=C(Cl)C1=O.Cc1[nH]c2ccccc2c1C1=C(Cl)C(=O)C(c2c(C(C)(C)C)[nH]c3ccccc23)=C(Cl)C1=O,"['1805-65-8', '329015-19-2']",850211-91-5,31-254-CAS-1312625,1,1,100,,109-99-9,"combinatorial, celite used",Parallel Synthesis of Indolylquinones and Their Cell-Based Insulin,"Pirrung, Michael C.; Li, Zhitao; Hensley, Erika; Liu, Yufa; Tanksale,","Journal of Combinatorial Chemistry (2007), 9(5), 844-854","['534-16-7', '54010-75-2']",Protocol A. To each of 10 Argonaut Quest reaction vessels (5 mL with 7,
CC(C)[N+](=O)[O-],C=CC#N.CC(C)(CCC#N)[N+](=O)[O-],CC(C)[N+](=O)[O-]>>C=CC#N.CC(C)(CCC#N)[N+](=O)[O-],"['79-46-9', '107-13-1']",16507-00-9,31-254-CAS-20471428,1,1,100,,64-17-5,literature preparation,NCα-gem-dimethylated peptoid side chains: A novel approach for structural,"Shyam, Radhe; Nauton, Lionel; Angelici, Gaetano; Roy, Olivier;","Biopolymers (2019), 110(6), n/a",100-85-6,,
C=CC(C)=O,COC(=O)C(C)C(=O)OC.COC(=O)C(C)(CCC(C)=O)C(=O)OC,C=CC(C)=O>>COC(=O)C(C)C(=O)OC.COC(=O)C(C)(CCC(C)=O)C(=O)OC,"['78-94-4', '609-02-9']",95929-65-0,31-254-CAS-7250806,1,1,100,18024-69-6,75-05-8,Michael addition,Sodium Tetramethoxyborate: An Efficient Catalyst for Michael Additions of,"Campana, Araceli G.; Fuentes, Noelia; Gomez-Bengoa, Enrique; Mateo,","Journal of Organic Chemistry (2007), 72(21), 8127-8130",,Model Procedure for the NaB(OMe)4-Catalyzed Michael Reaction. The Michael,
NCc1ccccc1,COC(=O)/C=C/C=O.[H][C@@]12C[C@H](C(=O)OC)N(Cc3ccccc3)[C@@]([H])(C[C@H](C(=O)OC)N1Cc1ccccc1)N2Cc1ccccc1,NCc1ccccc1>>COC(=O)/C=C/C=O.[H][C@@]12C[C@H](C(=O)OC)N(Cc3ccccc3)[C@@]([H])(C[C@H](C(=O)OC)N1Cc1ccccc1)N2Cc1ccccc1,"['100-46-9', '5837-72-9']",1404458-90-7,31-254-CAS-184269,1,1,100,,67-66-3,alternate reaction conditions gave lower yields,"Efficient synthesis of 2,6,9-triazabicyclo[3.3.1]nonanes through","Tanaka, Katsunori; Siwu, Eric R. O.; Hirosaki, Shinji; Iwata, Takayuki;","Tetrahedron Letters (2012), 53(44), 5899-5902",,,
COC(=O)CS(=O)(=O)c1sccc1/C=C/[N+](=O)[O-],COC(=O)C1C(C[N+](=O)[O-])c2ccsc2S1(=O)=O,COC(=O)CS(=O)(=O)c1sccc1/C=C/[N+](=O)[O-]>>COC(=O)C1C(C[N+](=O)[O-])c2ccsc2S1(=O)=O,133380-34-4,133380-35-5,31-254-CAS-5245668,1,1,100,,"['75-65-0', '109-99-9']","stereoselective, NaH/t-BuOH/THF, 1,4-Addition, Alkylation, C-Alkylation,",The intramolecular Michael reaction,"Little, R. Daniel; Masjedizadeh, Mohammad R.; Wallquist, Olof;","Organic Reactions (Hoboken, NJ, United States) (1995), 47No pp. given",7646-69-7,,
COC(=O)CS(=O)(=O)c1sccc1/C=C/[N+](=O)[O-],COC(=O)C1C(C[N+](=O)[O-])c2ccsc2S1(=O)=O,COC(=O)CS(=O)(=O)c1sccc1/C=C/[N+](=O)[O-]>>COC(=O)C1C(C[N+](=O)[O-])c2ccsc2S1(=O)=O,133380-34-4,133380-35-5,31-254-CAS-1893772,1,1,100,,"['75-65-0', '109-99-9']",key step,"The synthesis of substituted 2,3-dihydrothieno[2,3-b]thiophenes via","Williams, Theresa M.; Hudcosky, Ronald J.; Hunt, Cecilia A.; Shepard,","Journal of Heterocyclic Chemistry (1991), 28(1), 13-16",7646-69-7,,
CC(=O)/C=C/c1ccccc1,COC(O[Si](C)(C)C)=C(C)C.COC(=O)C(C)(C)C(CC(C)=O)c1ccccc1,CC(=O)/C=C/c1ccccc1>>COC(O[Si](C)(C)C)=C(C)C.COC(=O)C(C)(C)C(CC(C)=O)c1ccccc1,"['1896-62-4', '31469-15-5']",145473-82-1,31-254-CAS-5228535,1,2,100,352230-33-2,"['68-12-2', '109-99-9', '7732-18-5']",Michael addn. at 25° for 5 min; desilylation,Efficient Mukaiyama aldol reaction by silver(I),"Ohkouchi, Munetaka; Masui, Dai; Yamaguchi, Motowo; Yamagishi, Takamichi","Nippon Kagaku Kaishi (2002), (2), 223-229",429-41-4,,
CC(C=O)c1ccc2ccccc2c1,C=C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1.C[C@](C=O)(CC(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1)c1ccc2ccccc2c1,CC(C=O)c1ccc2ccccc2c1>>C=C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1.C[C@](C=O)(CC(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1)c1ccc2ccccc2c1,"['10522-23-3', '39082-53-6']",1449570-09-5,31-254-CAS-23897077,1,1,100,2676169-26-7,75-09-2,"stereoselective, catalyst prepared and used, 94% ee",Diaminomethylenemalononitrile as a Chiral Single Hydrogen Bond Catalyst:,"Kawada, Masahiro; Tsuyusaki, Ryo; Nakashima, Kosuke; Akutsu, Hiroshi;","Chemistry - An Asian Journal (2021), 16(16), 2272-2275",76-05-1,,
CCOC(=O)CC(=O)OCC,O=C(/C=C/c1ccccc1)c1ccccc1.CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccccc1,CCOC(=O)CC(=O)OCC>>O=C(/C=C/c1ccccc1)c1ccccc1.CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccccc1,"['105-53-3', '614-47-1']",7472-83-5,31-254-CAS-4646073,1,1,100,,108-88-3,"stereoselective, 4% ee, ionic liquid used, Michael addition",Imidazolium-based chiral ionic liquids: synthesis and application,"Suzuki, Yumiko; Wakatsuki, Junichiro; Tsubaki, Mariko; Sato, Masayuki","Tetrahedron (2013), 69(46), 9690-9700","['584-08-7', '1470073-43-8']",,
CCOC(=O)CC(=O)OCC,O=C(/C=C/c1ccccc1)c1ccccc1.CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccccc1,CCOC(=O)CC(=O)OCC>>O=C(/C=C/c1ccccc1)c1ccccc1.CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccccc1,"['105-53-3', '614-47-1']",7472-83-5,31-254-CAS-2173352,1,1,100,,108-88-3,"ionic liquid used, Michael addition",Imidazolium-based chiral ionic liquids: synthesis and application,"Suzuki, Yumiko; Wakatsuki, Junichiro; Tsubaki, Mariko; Sato, Masayuki","Tetrahedron (2013), 69(46), 9690-9700","['584-08-7', '861959-10-6']",,
C[N+](=O)[O-],N#CC(C#N)=Cc1ccccc1.N#CC(C#N)C(C[N+](=O)[O-])c1ccccc1,C[N+](=O)[O-]>>N#CC(C#N)=Cc1ccccc1.N#CC(C#N)C(C[N+](=O)[O-])c1ccccc1,"['75-52-5', '2700-22-3']",198554-22-2,31-254-CAS-13747474,1,1,100,1344-28-1,,"microwave irradiation, NO SOLVENT",Michael monoaddition of nitromethane on gem-diactivated alkenes in dry,"Michaud, David; Texier-Boullet, Francoise; Hamelin, Jack","Tetrahedron Letters (1997), 38(43), 7563-7564",,,
C=C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,CC(C=O)c1cccc(Br)c1.C[C@](C=O)(CC(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1)c1cccc(Br)c1,C=C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1>>CC(C=O)c1cccc(Br)c1.C[C@](C=O)(CC(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1)c1cccc(Br)c1,"['39082-53-6', '59452-90-3']",1449570-08-4,31-254-CAS-23896155,1,1,100,2676169-26-7,75-09-2,"stereoselective, catalyst prepared and used, 95% ee",Diaminomethylenemalononitrile as a Chiral Single Hydrogen Bond Catalyst:,"Kawada, Masahiro; Tsuyusaki, Ryo; Nakashima, Kosuke; Akutsu, Hiroshi;","Chemistry - An Asian Journal (2021), 16(16), 2272-2275",76-05-1,,
CC(C)(C)OC(=O)/C=C/[N+](=O)[O-],CCC(CC)OCC=O.CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])C(=O)OC(C)(C)C,CC(C)(C)OC(=O)/C=C/[N+](=O)[O-]>>CCC(CC)OCC=O.CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])C(=O)OC(C)(C)C,"['537005-95-1', '1141364-90-0']",1141364-92-2,31-254-CAS-3029175,1,2,100,943757-71-9,"['108-88-3', '7732-18-5']","stereoselective, optimization study, syn:anti 7.8:1, scalable, optimized",High-Yielding Synthesis of the Anti-Influenza Neuraminidase Inhibitor,"Ishikawa, Hayato; Suzuki, Takaki; Orita, Hideo; Uchimaru, Tadafumi;","Chemistry - A European Journal (2010), 16(42), 12616-12626,","['79-11-8', '144-55-8']",,
CC(C)(C)OC(=O)/C=C/[N+](=O)[O-],CCC(CC)OCC=O.CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])C(=O)OC(C)(C)C,CC(C)(C)OC(=O)/C=C/[N+](=O)[O-]>>CCC(CC)OCC=O.CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])C(=O)OC(C)(C)C,"['537005-95-1', '1141364-90-0']",1141364-92-2,31-254-CAS-12648090,1,2,100,65-85-0,"['75-09-2', '7732-18-5']","stereoselective, alternative reaction conditions shown, syn:anti = 5:1,",Process for producing oseltamivir phosphate and intermediate compound,"Hayashi, Yujiro; Ishikawa, Hayato","World Intellectual Property Organization, WO2009145263 A1 2009-12-03","['943757-71-9', '144-55-8']",[0095] &lt;Reaction Example 6; Preparation of,
CC(C)(C)OC(=O)/C=C/[N+](=O)[O-],CCC(CC)OCC=O.CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])C(=O)OC(C)(C)C,CC(C)(C)OC(=O)/C=C/[N+](=O)[O-]>>CCC(CC)OCC=O.CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])C(=O)OC(C)(C)C,"['537005-95-1', '1141364-90-0']",1141364-92-2,31-254-CAS-188551,1,2,100,"['79-11-8', '943757-71-9']","['75-09-2', '7732-18-5']","stereoselective, syn:anti=5:1, syn isomer ee=96%, anti isomer ee=87%,",High-yielding synthesis of the anti-influenza neuramidase inhibitor,"Ishikawa, Hayato; Suzuki, Takaki; Hayashi, Yujiro","Angewandte Chemie, International Edition (2009), 48(7), 1304-1307",144-55-8,,
CCOC(=O)CC#N,O=C(/C=C/c1ccccc1)c1ccccc1.CCOC(=O)C(C#N)C(CC(=O)c1ccccc1)c1ccccc1,CCOC(=O)CC#N>>O=C(/C=C/c1ccccc1)c1ccccc1.CCOC(=O)C(C#N)C(CC(=O)c1ccccc1)c1ccccc1,"['105-56-6', '614-47-1']",109694-24-8,31-254-CAS-3438891,1,1,100,7440-05-3,67-56-1,Michael addition,Study on the Pd/C-Catalyzed (Retro-)Michael Addition Reaction of,"Nikishkin, Nicolai I.; Huskens, Jurriaan; Verboom, Willem","European Journal of Organic Chemistry (2010), (35), 6820-6823",,,
CN1C(=O)CC(=O)N(C)C1=O,O=[N+]([O-])/C=C/c1ccccc1.CN1C(=O)C(C(C[N+](=O)[O-])c2ccccc2)C(=O)N(C)C1=O,CN1C(=O)CC(=O)N(C)C1=O>>O=[N+]([O-])/C=C/c1ccccc1.CN1C(=O)C(C(C[N+](=O)[O-])c2ccccc2)C(=O)N(C)C1=O,"['769-42-6', '5153-67-3']",1629241-70-8,31-254-CAS-17906203,1,1,100,1942849-33-3,"['64-17-5', '7732-18-5']","optimization study, optimized on catalyst, reagent, solvent, time and",3d/4f Coordination Clusters as Cooperative Catalysts for Highly,"Griffiths, Kieran; Tsipis, Athanassios C.; Kumar, Prashant; Townrow,","Inorganic Chemistry (2017), 56(16), 9563-9573",7782-44-7,,
O=[N+]([O-])/C=C/c1ccccc1,COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,O=[N+]([O-])/C=C/c1ccccc1>>COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,"['5153-67-3', '2080296-34-8', '3055571-30-4']",3055571-40-6,31-614-CAS-42083787,1,1,100,"['65-85-0', '3055571-28-0']",75-09-2,"stereoselective (dr = 67:33, er = 87:13), Michael addition, catalyst",New Entries in Organocatalysts from an Alkaloid Library; Development of,"Yamanishi, Kyosuke; Ashihara, Gin; Shiomi, Shinya; Harada, Shingo;","Journal of the American Chemical Society (2024), 146(39), 27152-27160",,,
O=[N+]([O-])/C=C/c1ccccc1,COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,O=[N+]([O-])/C=C/c1ccccc1>>COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,"['5153-67-3', '2080296-34-8', '3055571-30-4']",3055571-40-6,31-614-CAS-42083803,1,1,100,"['65-85-0', '115751-26-3']",75-09-2,"stereoselective (dr = 59:41, er = 52:48), Michael addition, catalyst",New Entries in Organocatalysts from an Alkaloid Library; Development of,"Yamanishi, Kyosuke; Ashihara, Gin; Shiomi, Shinya; Harada, Shingo;","Journal of the American Chemical Society (2024), 146(39), 27152-27160",,,
O=[N+]([O-])/C=C/c1ccccc1,COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,O=[N+]([O-])/C=C/c1ccccc1>>COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,"['5153-67-3', '2080296-34-8', '3055571-30-4']",3055571-40-6,31-614-CAS-42083781,1,1,100,"['65-85-0', '3055571-26-8']",75-09-2,"stereoselective (dr = 65:35, er = 80:20), Michael addition, catalyst",New Entries in Organocatalysts from an Alkaloid Library; Development of,"Yamanishi, Kyosuke; Ashihara, Gin; Shiomi, Shinya; Harada, Shingo;","Journal of the American Chemical Society (2024), 146(39), 27152-27160",,,
O=[N+]([O-])/C=C/c1ccccc1,COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,O=[N+]([O-])/C=C/c1ccccc1>>COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,"['5153-67-3', '2080296-34-8', '3055571-30-4']",3055571-40-6,31-614-CAS-42083800,1,1,100,"['65-85-0', '3055571-27-9']",75-09-2,"stereoselective (dr = 69:31, er = 76:24), Michael addition, catalyst",New Entries in Organocatalysts from an Alkaloid Library; Development of,"Yamanishi, Kyosuke; Ashihara, Gin; Shiomi, Shinya; Harada, Shingo;","Journal of the American Chemical Society (2024), 146(39), 27152-27160",,,
O=[N+]([O-])/C=C/c1ccccc1,COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,O=[N+]([O-])/C=C/c1ccccc1>>COC(=O)C1C(=O)N(Cc2ccc(OC)cc2)c2ccccc21.COC(=O)c1c(O)n(Cc2ccc(OC)cc2)c2ccccc12.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)C(=O)N(Cc2ccc(OC)cc2)c2ccccc21,"['5153-67-3', '2080296-34-8', '3055571-30-4']",3055571-40-6,31-614-CAS-42083793,1,1,100,"['65-85-0', '3055571-29-1']",75-09-2,"stereoselective (dr = 78:22, er = 88:12), Michael addition, catalyst",New Entries in Organocatalysts from an Alkaloid Library; Development of,"Yamanishi, Kyosuke; Ashihara, Gin; Shiomi, Shinya; Harada, Shingo;","Journal of the American Chemical Society (2024), 146(39), 27152-27160",,,
O=C1C=CCCC1,O=[N+]([O-])C1CCCC1.O=C1CCC[C@@H](C2([N+](=O)[O-])CCCC2)C1,O=C1C=CCCC1>>O=[N+]([O-])C1CCCC1.O=C1CCC[C@@H](C2([N+](=O)[O-])CCCC2)C1,"['930-68-7', '2562-38-1']",803706-21-0,31-254-CAS-5517775,1,1,100,895159-32-7,67-66-3,"stereoselective, Michael addition reaction, 4-trans-amino-proline based",4-trans-Amino-proline based di- and tetrapeptides as organic catalysts,"Tsogoeva, Svetlana B.; Jagtap, Sunil B.; Ardemasova, Zoya A.","Tetrahedron: Asymmetry (2006), 17(6), 989-992",2815-34-1,,
COC(=O)CC(=O)OC,O=[N+]([O-])/C=C/C=C/c1ccccc1.COC(=O)C(C(=O)OC)[C@@H](/C=C/c1ccccc1)C[N+](=O)[O-],COC(=O)CC(=O)OC>>O=[N+]([O-])/C=C/C=C/c1ccccc1.COC(=O)C(C(=O)OC)[C@@H](/C=C/c1ccccc1)C[N+](=O)[O-],"['108-59-8', '28925-75-9']",1256161-66-6,31-254-CAS-20574710,1,1,100,"['7440-02-0', '221226-19-3']",108-88-3,"stereoselective, 86% ee, Michael addition",A Nickel-Diamine/Mesoporous Silica Composite as a Heterogeneous Chiral,"Ishitani, Haruro; Kanai, Kan; Yoo, Woo-Jin; Yoshida, Tomoko; Kobayashi,","Angewandte Chemie, International Edition (2019), 58(38), 13313-13317",,,"['diamine complexes bound to MCM-41', 'MCM-41-bound nickel complexes']"
CC(=O)c1ccccc1,O=[N+]([O-])/C=C/C=C/c1ccccc1.O=C(C[C@@H](/C=C/c1ccccc1)C[N+](=O)[O-])c1ccccc1,CC(=O)c1ccccc1>>O=[N+]([O-])/C=C/C=C/c1ccccc1.O=C(C[C@@H](/C=C/c1ccccc1)C[N+](=O)[O-])c1ccccc1,"['98-86-2', '28925-75-9']",952650-46-3,31-254-CAS-8242624,1,1,100,1370418-69-1,67-66-3,"regioselective, stereoselective, thermal, 99% ee, Michael addn., pressure","Organocatalytic ""difficult"" Michael reaction of ketones with nitrodienes","Tsakos, Michail; Kokotos, Christoforos G.","European Journal of Organic Chemistry (2012), 2012(3), 576-580,",,,
CCCCC=O,O=[N+]([O-])/C=C/c1cccc(Br)c1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1cccc(Br)c1,CCCCC=O>>O=[N+]([O-])/C=C/c1cccc(Br)c1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1cccc(Br)c1,"['110-62-3', '115665-95-7']",1788091-07-5,31-254-CAS-18392793,1,2,100,2173591-27-8,108-88-3,"stereoselective, ee (92%), syn:anti = 95:5, Michael addition",Michael addition of carbonyl compounds to nitroolefins under the,"Castan, A.; Badorrey, R.; Galvez, J. A.; Lopez-Ram-de-Viu, P.;","Organic & Biomolecular Chemistry (2018), 16(6), 924-935",,,
